word	definition
karni	x₁ (Entity) is a journal or periodical or magazine or newspaper with content x₂ (Entity) published by x₃ (Entity) for audience x₄ (Entity or Group<Entity>)
katna	x₁ (Entity or Force) cuts or splits or divides object x₂ (Entity) into pieces x₃ (Entity or Group<Entity>)
kavbu	x₁ (Entity) captures or catches or apprehends or seizes x₂ (Entity) with trap or restraint x₃ (Entity)
kecti	x₁ (Entity) pities or feels sorry for x₂ (Entity) about x₃ (Abstraction)
kelci	x₁ (Entity) plays with toy x₂ (Entity)
kelvo	x₁ (Entity) is x₂ (Number) kelvin in temperature by standard x₃ (si'o, Standard)
kenra	x₁ (Entity) is a cancer disease in x₂ (Entity)
kensa	x₁ (Location) is outer space near or associated with celestial body or region x₂ (Entity)
kerfa	x₁ (Entity) is hair or fur body-part of x₂ (Organism) at location x₃ (Entity)
kerlo	x₁ (Entity) is an ear body-part of x₂ (Organism)
ketco	x₁ (Entity) reflects South American culture or nationality or geography in aspect x₂ (ka, Property of x₁)
kevna	x₁ (Entity) is a cavity or hole or hollow or cavern in x₂ (Entity)
kicne	x₁ (Entity) cushions x₂ (Entity) with material x₃ (Entity)
kijno	x₁ (Entity) is a quantity of or contains or is made of oxygen x₂ (Entity)
kilto	x₁ (Entity) is 10^3 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
kinli	x₁ (Entity) is sharp or keen at locus x₂ (Entity)
kisto	x₁ (Entity) reflects Pakistani or Pashto culture or nationality or language in aspect x₂ (ka, Property of x₁)
klaji	x₁ (Location) is a street or avenue or lane or alley at x₂ (Location) allowing access to x₃ (Location or Entity)
klaku	x₁ (Entity) weeps or cries tears x₂ (Entity) about reason x₃ (nu, Event or State)
klama	x₁ (Entity) goes or comes to destination x₂ (Location or Entity) from origin x₃ (Location or Entity) via route x₄ (Sequence<Location> or Group<Location>) using means or vehicle x₅ (Entity)
klani	x₁ (Entity) is measured by number x₂ (Number) on scale x₃ (si'o, Scale of property of x₁ with kau)
klesi	x₁ (Entity or si'o, Idea) is a class or category or subgroup or subset within x₂ (Entity) with defining property x₃ (ka, Property of members of x₁)
klina	x₁ (Entity) is clear or transparent to transmission x₂ (Entity or nu, Event)
kliru	x₁ (Entity) is a quantity of or contains or is made of halogen of type x₂ (Entity)
kliti	x₁ (Entity) is a quantity of or contains or is made of clay of composition including x₂ (Entity)
klupe	x₁ (Entity) is a screw fastener for purpose x₂ (nu, Event) with threads x₃ (Entity) and frame x₄ (Entity)
kluza	x₁ (Entity) is loose or bloused or not tight on x₂ (Entity) at locus x₃ (Entity)
kobli	x₁ (Entity) is a quantity of cabbage or lettuce or leafy vegetable of species x₂ (Taxon)
kojna	x₁ (Entity) is a corner or solid angle in or on x₂ (Entity) of material x₃ (Entity)
kolme	x₁ (Entity) is a quantity of or contains or is made of coal or peat or anthracite or bitumen from source x₂ (Entity)
komcu	x₁ (Entity) is a comb shape of material x₂ (Entity) with tines or needles x₃ (Entity)
konju	x₁ (Entity) is a cone shape of material x₂ (Entity) with vertex x₃ (Entity)
korbi	x₁ (Entity) is an edge or margin or border or curb or boundary of x₂ (Entity) next to x₃ (Entity)
korcu	x₁ (Entity) is bent or crooked or not straight or twisted or folded
korka	x₁ (Entity) is a quantity of or contains or is made of cork or bark from tree x₂ (Entity)
kosta	x₁ (Entity) is a coat or jacket or sweater garment of material x₂ (Entity)
kramu	x₁ (Entity) is x₂ (Number) local area units in standard x₃ (Entity) with subunits x₄ (Entity)
krasi	x₁ (Location or nu, Event) is a source or start or beginning or origin of x₂ (Entity or nu, Event or Process)
krati	x₁ (Entity) represents or is a proxy or stands in for x₂ (Entity) in matter or function x₃ (Relation<x₁, x₂>)
krefu	x₁ (nu, Event) is the x₃-th recurrence of x₂ (Abstraction)
krici	x₁ (Entity) believes creed x₂ (du'u, Proposition) is true about subject x₃ (Entity)
krili	x₁ (Entity) is a quantity of or contains or is made of crystal of composition x₂ (Entity) in form or arrangement x₃ (Entity)
krinu	x₁ (nu, Event or State) is a reason or justification or explanation for x₂ (nu, Event or State)
krixa	x₁ (Entity) cries out or yells or howls sound x₂ (Sound)
kruca	x₁ (Entity) intersects or crosses or traverses x₂ (Entity) at locus x₃ (Entity)
kruji	x₁ (Entity) is a quantity of or contains or is made of cream or emulsion or puree of composition x₂ (Entity)
kruvi	x₁ (Entity) is a curve or turn or bend in x₂ (Entity) at locus x₃ (Entity) defined by set of points or properties x₄ (Set<Entity>)
kubli	x₁ (Entity) is a cube or regular polyhedron of dimensions x₂ (Entity) with surfaces or sides x₃ (Entity)
kucli	x₁ (Entity) is curious about or wonders about or is inquisitive about x₂ (Entity or Abstraction)
kufra	x₁ (Entity) feels comfort or is comfortable with conditions or environmental properties x₂ (ka, Property of x₁)
kukte	x₁ (Entity) is delicious or tasty or delightful to observer or sense x₂ (Entity)
kulnu	x₁ (Entity) is a culture of nation or ethos x₂ (Group<Entity>)
kumfa	x₁ (Location) is a room of or in structure x₂ (Entity) surrounded by partitions or walls or ceiling or floor x₃ (Group<Entity>)
kumte	x₁ (Organism) is a camel or llama or alpaca or vicuna of species x₂ (Taxon)
kunra	x₁ (Entity) is or contains or is made from a mineral or ore of metal type x₂ (Entity) mined from location x₃ (Location)
kunti	x₁ (Entity) is empty or vacant of material x₂ (Entity)
kurfa	x₁ (Entity) is a right-angled shape defined by vertices x₂ (Set<Entity>) with dimensions x₃ (Number)
kurji	x₁ (Entity) takes care of or looks after or attends to or provides for x₂ (Entity or nu, Event)
kurki	x₁ (Entity) is bitter or acrid to observer or sense x₂ (Entity)
kuspe	x₁ (Entity) ranges or extends or spans or persists or reaches across range x₂ (Entity)
kusru	x₁ (Entity) is cruel or mean or unkind to victim x₂ (Entity)
labno	x₁ (Organism) is a wolf of species x₂ (Taxon)
lacpu	x₁ (Entity) pulls or tugs or draws or drags x₂ (Entity) by handle or at locus x₃ (Entity)
lacri	x₁ (Entity) relies or depends or counts on or trusts x₂ (Entity) to bring about or ensure or maintain x₃ (nu, Event or State)
ladru	x₁ (Entity) is a quantity of or contains or is made of milk from source x₂ (Entity)
lafti	x₁ (Entity or Force) lifts or applies raising force to x₂ (Entity) at locus x₃ (Entity) in gravity well x₄ (Entity)
lakne	x₁ (nu, Event) is probable or likely under conditions x₂ (nu, Event)
lakse	x₁ (Entity) is a quantity of or contains or is made of wax from source x₂ (Entity)
lalxu	x₁ (Location) is a lake or lagoon or pool at site or within land mass x₂ (Location)
lamji	x₁ (Entity) is adjacent or beside or next to or in contact with x₂ (Entity) in property or sequence x₃ (Entity) in direction x₄ (Entity)
lanbi	x₁ (Entity) is a quantity of protein or albumin of type x₂ (Entity) composed of amino acids x₃ (Sequence<Entity>)
lanci	x₁ (Entity) is a flag or banner or standard of or symbolizing x₂ (Entity) with pattern x₃ (Entity) on material x₄ (Entity)
lanka	x₁ (Entity) is a basket containing x₂ (Entity) woven from material x₃ (Entity)
lanli	x₁ (Entity) analyzes or examines in detail x₂ (Entity) by method or technique x₃ (nu, Event)
lanme	x₁ (Organism) is a sheep of species x₂ (Taxon) of flock x₃ (Group<Organism>)
lante	x₁ (Entity) is a can sealed container for perishable contents x₂ (Entity) made of material x₃ (Entity)
lanxe	x₁ (Group<Entity>) is in balance or equilibrium under forces x₂ (Group<Entity>)
lanzu	x₁ (Group<Entity>) is a family with members including x₂ (Entity) bonded by standard x₃ (si'o, Standard)
larcu	x₁ (nu, Process) is an art creative application of craft or skill x₂ (nu, Event or Idea)
lasna	x₁ (Entity) fastens or connects or attaches or binds or lashes x₂ (Entity) to x₃ (Entity) with fastener x₄ (Entity)
lastu	x₁ (Entity) is a quantity of or contains or is made of brass of composition including x₂ (Entity)
latmo	x₁ (Entity) reflects Latin or Roman or Romance culture or language in aspect x₂ (ka, Property of x₁)
latna	x₁ (Entity) is a lotus plant or flower of species x₂ (Taxon) symbolizing x₃ (Entity) to culture or religion x₄ (Entity)
lazni	x₁ (Entity) is lazy or avoids work concerning action x₂ (ka, Property of x₁)
lebna	x₁ (Entity) takes or gets or gains or obtains or seizes x₂ (ka, Property of x₁) from possessor x₃ (Entity)
lenjo	x₁ (Entity) is a lens focussing rays x₂ (Entity) to focus x₃ (Entity) by means or material x₄ (Entity)
lenku	x₁ (Entity) is cold or cool by standard x₂ (si'o, Standard)
lerci	x₁ (nu, Event) is late by standard x₂ (si'o, Standard)
lerfu	x₁ (Text) is a letter or digit or symbol in alphabet or character set x₂ (Entity) representing x₃ (Entity)
libjo	x₁ (Entity) reflects Libyan culture or nationality in aspect x₂ (ka, Property of x₁)
lidne	x₁ (Entity) precedes or leads x₂ (Entity) in sequence x₃ (Sequence<Entity>)
lifri	x₁ (Entity) undergoes or experiences event x₂ (nu, Event)
lijda	x₁ (Entity) is a religion of believers including x₂ (Group<Entity>) sharing beliefs x₃ (du'u, Proposition)
limna	x₁ (Entity) swims in fluid x₂ (Entity)
lindi	x₁ (Entity) is lightning or electrical arc or thunderbolt striking at x₂ (Entity) from x₃ (Entity)
linji	x₁ (Entity) is a line one-dimensional shape defined by points x₂ (Set<Entity>)
linsi	x₁ (Entity) is a length of chain of material x₂ (Entity) with link properties x₃ (ka, Property of x₁)
linto	x₁ (Entity) is lightweight in mass or weight by standard x₂ (si'o, Standard)
lisri	x₁ (Text) is a story or tale or narrative about subject or moral x₂ (Entity) by storyteller x₃ (Entity) to audience x₄ (Entity or Group<Entity>)
liste	x₁ (Entity) is a list or catalog or register of sequence or set x₂ (Sequence<Entity> or Set<Entity>) in order x₃ (Entity) in medium x₄ (Entity)
litce	x₁ (Entity) is x₂ (Number) liters in volume by standard x₃ (si'o, Standard)
litki	x₁ (Entity) is liquid of composition including x₂ (Entity) under conditions x₃ (nu, Event)
litru	x₁ (Entity) travels or journeys or goes via route x₂ (Sequence<Location> or Group<Location>) using means or vehicle x₃ (Entity)
livga	x₁ (Entity) is a liver body-part of x₂ (Organism)
livla	x₁ (Entity) is a fuel or energy source for powering x₂ (Entity)
logji	x₁ (Entity) is a logic for reasoning about x₂ (du'u, Proposition)
lojbo	x₁ (Entity) reflects Lojbanic language or culture or community in aspect x₂ (ka, Property of x₁)
loldi	x₁ (Entity) is a floor or bottom or ground of x₂ (Entity)
lorxu	x₁ (Organism) is a fox of species x₂ (Taxon)
lubno	x₁ (Entity) reflects Lebanese culture or nationality in aspect x₂ (ka, Property of x₁)
lujvo	x₁ (Text) is a compound predicate word with meaning x₂ (Entity) and arguments x₃ (Sequence<Entity>) built from metaphor x₄ (Text)
lumci	x₁ (Entity) washes or cleanses x₂ (Entity) of contaminant x₃ (Entity) with cleaning material x₄ (Entity)
lunbe	x₁ (Entity) is bare or naked or nude
lunra	x₁ (Entity) is a major natural satellite or moon of planet x₂ (Entity)
lunsa	x₁ (Entity) condenses or liquefies on or into x₂ (Entity) at temperature x₃ (Number) and pressure x₄ (Number)
mabla	x₁ (Entity) is execrable or shitty or awful or rotten or inferior in property x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
mabru	x₁ (Organism) is a mammal of species x₂ (Taxon)
macnu	x₁ (nu, Event or Process) is manual not automatic in function x₂ (ka, Property of x₁ or nu, Event) under conditions x₃ (nu, Event)
makcu	x₁ (Entity) is mature or ripe or fully grown or adult in development quality x₂ (ka, Property of x₁)
makfa	x₁ (Entity or nu, Event) is magic or supernatural or sorcery or witchcraft to x₂ (Entity) performed by person or force or deity x₃ (Entity)
maksi	x₁ (Entity) is magnetic producing magnetic field x₂ (Entity)
malsi	x₁ (Location) is a temple or church or sanctuary or shrine of religion x₂ (Entity) at location or serving area x₃ (Location)
mamta	x₁ (Entity) is a mother of x₂ (Entity)
manci	x₁ (Entity) feels wonder or awe or marvels about x₂ (Entity or Abstraction)
manfo	x₁ (Entity or nu, Event) is uniform or homogeneous in property x₂ (ka, Property of x₁)
manku	x₁ (Entity) is dark or lacking in illumination
manri	x₁ (Entity or si'o, Idea) is a frame of reference or standard for observing or measuring or determining x₂ (Entity) with rules x₃ (Entity)
mansa	x₁ (Entity or nu, Event) satisfies evaluator x₂ (Entity) in property or state x₃ (ka, Property of x₁ or nu, State)
manti	x₁ (Organism) is an ant of species x₂ (Taxon)
mapku	x₁ (Entity) is a cap or hat or crown or helmet or headgear of material x₂ (Entity)
mapni	x₁ (Entity) is a quantity of or contains or is made of cotton material
mapti	x₁ (Entity) fits or matches or suits or is compatible with x₂ (Entity) in property x₃ (ka, Relation<x₁, x₂>)
marbi	x₁ (Location or Entity) is a shelter or haven or refuge or retreat or harbor for protecting x₂ (Entity) from danger x₃ (Entity or nu, Event)
marce	x₁ (Entity) is a vehicle or mode of transport carrying x₂ (Entity) in or on surface or medium x₃ (Entity) propelled by x₄ (Entity)
marde	x₁ (ka, Property of x₂) are ethics or morals or moral standards of x₂ (Entity or Group<Entity>) about situation x₃ (nu, Event or State)
margu	x₁ (Entity) is a quantity of or contains or is made of mercury x₂ (Entity)
marji	x₁ (Entity) is material or stuff or matter of composition including x₂ (Entity) in shape x₃ (Entity)
marna	x₁ (Entity) is a quantity of hemp or marijuana or jute of species x₂ (Taxon)
marxa	x₁ (Entity or Force) mashes or crushes or squashes or smashes x₂ (Entity) into mass x₃ (Entity)
masno	x₁ (Entity) is slow or sluggish at doing or being or bringing about x₂ (nu, Event or State)
masti	x₁ (TimeInterval) is x₂ (Number) months in duration by standard x₃ (si'o, Standard)
matci	x₁ (Entity) is a mat or pad or mattress or pallet of material x₂ (Entity)
matli	x₁ (Entity) is a quantity of or contains or is made of linen or flax material
matne	x₁ (Entity) is a quantity of or contains butter or margarine or shortening from source x₂ (Entity)
matra	x₁ (Entity) is a motor or engine driving or propelling or providing power to x₂ (Entity)
mavji	x₁ (Entity) is a quantity of oats grain of species x₂ (Taxon)
maxri	x₁ (Entity) is a quantity of wheat grain of species x₂ (Taxon)
mebri	x₁ (Entity) is a brow or forehead body-part of x₂ (Organism)
megdo	x₁ (Entity) is 10^6 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
mekso	x₁ (Text) is a mathematical expression interpreted under rules x₂ (Entity)
melbi	x₁ (Entity) is beautiful or pleasant to x₂ (Entity) in aspect x₃ (ka, Property of x₁) by aesthetic standard x₄ (Entity)
meljo	x₁ (Entity) reflects Malaysian or Malay culture or nationality or language in aspect x₂ (ka, Property of x₁)
menli	x₁ (Entity) is a mind or intellect or psyche of body x₂ (Entity)
mensi	x₁ (Entity) is a sister of x₂ (Entity) by bond x₃ (Entity)
mentu	x₁ (TimeInterval) is x₂ (Number) minutes in duration by standard x₃ (si'o, Standard)
merko	x₁ (Entity) reflects USA or American culture or nationality or dialect in aspect x₂ (ka, Property of x₁)
merli	x₁ (Entity) measures quantity x₂ (Entity or Number) as x₃ (Number) units on scale x₄ (si'o, Scale) with accuracy x₅ (Number)
mexno	x₁ (Entity) reflects Mexican culture or nationality in aspect x₂ (ka, Property of x₁)
midju	x₁ (Entity) is in the middle or center or midpoint of x₂ (Entity)
mifra	x₁ (Text) is encoded or cipher text of plain text x₂ (Text) by code x₃ (Entity)
mikce	x₁ (Entity) treats or doctors or nurses x₂ (Entity) for ailment x₃ (ka, Property of x₂) by treatment x₄ (nu, Event or ka, Relation<x₁, x₂>)
mikri	x₁ (Entity) is 10^-6 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
milti	x₁ (Entity) is 10^-3 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
milxe	x₁ (Entity) is mild or gentle or non-extreme in property x₂ (ka, Property of x₁)
minde	x₁ (Entity) issues commands or orders to x₂ (Entity) for result x₃ (nu, Event or State)
minji	x₁ (Entity) is a machine for function x₂ (ka, Property of x₁)
minli	x₁ (Entity) is x₂ (Number) long local distance units in dimension x₃ (ka, Property of x₁) with subunits x₄ (Entity) by standard x₅ (si'o, Standard)
minra	x₁ (Entity) reflects or mirrors or echoes x₂ (Entity) to observer x₃ (Entity) as x₄ (Entity)
mintu	x₁ (Entity) is the same or identical thing as x₂ (Entity) by standard x₃ (si'o, Standard)
mipri	x₁ (Entity) keeps x₂ (Entity or du'u, Proposition) secret or hidden from x₃ (Entity) by method x₄ (nu, Event or Entity)
mirli	x₁ (Organism) is a deer or elk or moose of species x₂ (Taxon)
misno	x₁ (Entity or nu, Event) is famous or renowned among community x₂ (Group<Entity>)
misro	x₁ (Entity) reflects Egyptian culture or nationality in aspect x₂ (ka, Property of x₁)
mitre	x₁ (Entity) is x₂ (Number) meters in dimension x₃ (ka, Property of x₁) by standard x₄ (si'o, Standard)
mixre	x₁ (Group<Entity>) is a mixture or blend including ingredients x₂ (Group<Entity>)
mlana	x₁ (Entity) is to the side of x₂ (Entity) and facing x₃ (Entity) from viewpoint x₄ (Entity)
mlatu	x₁ (Organism) is a cat of species x₂ (Taxon)
mleca	T: Entity. x₁ (T) is less than x₂ (T) in property or quantity x₃ (ka, Property of x₁) by amount x₄ (ni, Amount of T)
mledi	x₁ (Organism) is a mold or fungus of species x₂ (Taxon) growing on x₃ (Entity)
mluni	x₁ (Entity) is a satellite or moon orbiting x₂ (Entity) with characteristics x₃ (Entity) and orbital parameters x₄ (Entity)
mokca	x₁ (Entity) is a point or instant or moment at time or place x₂ (Entity)
moklu	x₁ (Entity) is a mouth or oral cavity body-part of x₂ (Organism)
molki	x₁ (Location or Entity) is a mill or industrial plant performing process x₂ (nu, Event)
molro	x₁ (Entity) is x₂ (Number) moles in substance by standard x₃ (si'o, Standard)
morji	x₁ (Entity) remembers fact x₂ (du'u, Proposition) about subject x₃ (Entity)
morko	x₁ (Entity) reflects Moroccan culture or nationality in aspect x₂ (ka, Property of x₁)
morna	x₁ (Entity) is a pattern of forms or events x₂ (Entity or Group<Entity>) arranged according to structure x₃ (Entity or si'o, Idea)
morsi	x₁ (Entity) is dead or has ceased to be alive
mosra	x₁ (Entity) is friction opposing motion due to rubbing of x₂ (Entity) against x₃ (Entity)
mraji	x₁ (Entity) is a quantity of rye grain of species x₂ (Taxon)
mrilu	x₁ (Entity) mails or posts x₂ (Entity) to recipient address x₃ (Entity) from sender address x₄ (Entity) by mail system x₅ (Entity)
mruli	x₁ (Entity) is a hammer tool for doing x₂ (nu, Event) with head x₃ (Entity) propelled by x₄ (Entity)
mucti	x₁ (Entity) is immaterial or not physical or without material form
mudri	x₁ (Entity) is a quantity of or is made of or contains wood from tree type x₂ (Entity)
mukti	x₁ (nu, Event or State) is a motive or incentive for property x₂ (ka, Property of x₃) of agent x₃ (Entity)
mulno	x₁ (nu, Event) is complete or finished or x₁ (Entity) is whole in property x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
munje	x₁ (Entity) is a universe or cosmos of domain x₂ (Entity) defined by rules x₃ (Entity or si'o, Idea)
mupli	x₁ (Entity) is an example or sample or specimen or instance of common property x₂ (ka, Property of members of x₃) of set x₃ (Set<Entity>)
murse	x₁ (TimeInterval) is the twilight or dawn or dusk or half-light of day x₂ (TimeInterval) at location x₃ (Location)
murta	x₁ (Entity) is a curtain or blinds or drapes for covering or obscuring aperture x₂ (Entity) made of material x₃ (Entity)
muslo	x₁ (Entity) pertains to Islamic or Moslem or Quranic culture or religion or nation in aspect x₂ (ka, Property of x₁)
mamta	x₁ (Entity) is a mother of x₂ (Entity)
mutce	x₁ (Entity) is extreme or very much in property x₂ (ka, Property of x₁) towards extreme direction x₃ (Entity)
muvdu	x₁ (Entity) moves to destination x₂ (Location or Entity) from origin x₃ (Location or Entity) over path x₄ (Sequence<Location> or Group<Location>)
muzga	x₁ (Location) is a museum for preserving x₂ (Entity) at location x₃ (Location)
nabmi	x₁ (nu, Event or State) is a problem to x₂ (Entity) in situation or task or inquiry x₃ (nu, Event)
nakni	x₁ (Organism) is a male of species x₂ (Taxon) evidencing masculine traits x₃ (ka, Property of x₁)
nalci	x₁ (Entity) is a wing body-part of x₂ (Organism)
namcu	x₁ (Number) is a number or quantifier or digit or value
nanba	x₁ (Entity) is a quantity of or contains bread made from grains x₂ (Entity)
nanca	x₁ (TimeInterval) is x₂ (Number) years in duration by standard x₃ (si'o, Standard)
nandu	x₁ (Entity or nu, Event) is difficult or hard or challenging for x₂ (Entity) under conditions x₃ (nu, Event)
nanla	x₁ (Entity) is a boy young male person of age x₂ (TimeInterval) immature by standard x₃ (si'o, Standard)
nanmu	x₁ (Entity) is a man male humanoid person
nanvi	x₁ (Entity) is 10^-9 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
narge	x₁ (Entity) is a nut hard-shelled fruit from plant x₂ (Entity) with shell x₃ (Entity) and kernel x₄ (Entity)
narju	x₁ (Entity) is orange in color
natfe	x₁ (du'u, Proposition) contradicts or denies or refutes or negates x₂ (du'u, Proposition) under rules or logic x₃ (Entity)
natmi	x₁ (Group<Entity>) is a nation or ethnic group of peoples x₂ (Group<Entity>)
navni	x₁ (Entity) is a quantity of or contains or is made of noble gas of type x₂ (Entity)
naxle	x₁ (Entity) is a canal or channel to x₂ (Location) from x₃ (Location) with route x₄ (Sequence<Location> or Group<Location>)
nazbi	x₁ (Entity) is a nose body-part of x₂ (Organism) with nasal passages x₃ (Entity)
nejni	x₁ (Entity) is energy of type x₂ (Entity) in form x₃ (Entity)
nelci	x₁ (Entity) is fond of or likes x₂ (Entity or nu, State)
nenri	x₁ (Entity) is inside or within x₂ (Entity)
nibli	x₁ (nu, Event or State) logically necessitates or entails or implies x₂ (nu, Event or State) under rules or logic system x₃ (Entity)
nicte	x₁ (TimeInterval) is nighttime of day x₂ (TimeInterval) at location x₃ (Location)
nikle	x₁ (Entity) is a quantity of or contains or is made of nickel
nilce	x₁ (Entity) furnishes location x₂ (Location) serving purpose x₃ (nu, Event)
nimre	x₁ (Entity) is a quantity of citrus fruit or tree of species x₂ (Taxon)
ninmu	x₁ (Entity) is a woman female humanoid person
nirna	x₁ (Entity) is a nerve or neuron body-part of x₂ (Organism)
nitcu	x₁ (Entity) needs or requires necessity x₂ (Entity or nu, Event) for purpose or action or stage of process x₃ (nu, Event)
nivji	x₁ (Entity) knits cloth or object x₂ (Entity) from yarn x₃ (Entity)
nixli	x₁ (Entity) is a girl young female person of age x₂ (TimeInterval) immature by standard x₃ (si'o, Standard)
nobli	x₁ (Entity) is noble or aristocratic or elite in culture or society x₂ (Entity)
notci	x₁ (Entity or Text) is a message or notice or memorandum about subject x₂ (Entity) from author x₃ (Entity) to intended audience x₄ (Entity or Group<Entity>)
nukni	x₁ (Entity) is magenta or purplish-red in color
nupre	x₁ (Entity) promises or commits or assures or threatens event or state x₂ (nu, Event or State) to beneficiary or victim x₃ (Entity)
nurma	x₁ (Location) is a rural or rustic or pastoral area of x₂ (Location)
nutli	x₁ (Entity) is neutral or medial or not taking sides on scale or in dissension x₂ (Entity or si'o, Scale)
nuzba	x₁ (du'u, Proposition) is news or new information about subject x₂ (Entity) from source x₃ (Entity) to observer x₄ (Entity)
pacna	x₁ (Entity) hopes or wishes or desires event x₂ (nu, Event) with expected likelihood x₃ (Number between 0 and 1)
pagbu	x₁ (Entity) is a part or component or piece or portion of whole or mass x₂ (Entity)
pagre	x₁ (Entity) passes through or penetrates barrier or medium or portal x₂ (Entity) to destination side x₃ (Entity) from origin side x₄ (Entity)
pajni	x₁ (Entity) judges or referees or arbitrates matter x₂ (Abstraction)
palci	x₁ (Entity) is evil or depraved or wicked by standard x₂ (si'o, Standard)
palku	x₁ (Entity) is pants or trousers or slacks garment of material x₂ (Entity)
palne	x₁ (Entity) is a tray or platter flat container for contents x₂ (Entity) made of material x₃ (Entity)
palta	x₁ (Entity) is a plate or dish or platter or saucer of material x₂ (Entity)
pambe	x₁ (Entity) is a pump or injector pumping fluid x₂ (Entity) to x₃ (Entity) from x₄ (Entity) by means x₅ (Entity)
panci	x₁ (Entity) is an odor or fragrance or scent emitted by x₂ (Entity) detected by x₃ (Entity)
pandi	x₁ (Entity) punctuates expression x₂ (Text) with symbol or word x₃ (Text) with effect x₄ (Entity or du'u, Proposition)
panje	x₁ (Entity) is a quantity of or contains or is made of sponge or porous material
panka	x₁ (Location) is a park or land reserve managed by x₂ (Entity or Group<Entity>) for purpose x₃ (nu, Event)
panlo	x₁ (Entity) is a slice thin flat portion of mass x₂ (Entity)
panpi	x₁ (Entity) is at peace with x₂ (Entity)
panra	x₁ (Entity) parallels x₂ (Entity) differing only in property x₃ (ka, Relation<x₁, x₂>) by standard or geometry x₄ (si'o, Standard)
pante	x₁ (Entity) protests or objects to or complains about event or state x₂ (nu, Event or State) to audience x₃ (Entity) with action x₄ (nu, Event)
panzi	x₁ (Organism) is a biological offspring or child of parent(s) x₂ (Organism or Group<Organism>)
papri	x₁ (Entity) is a physical page of book or document x₂ (Entity)
parbi	x₁ (Entity) is a ratio or rate of quantity x₂ (Entity) with respect to quantity x₃ (Entity)
pastu	x₁ (Entity) is a robe or tunic or gown or cloak or dress garment of material x₂ (Entity)
patfu	x₁ (Entity) is a father of x₂ (Entity)
patlu	x₁ (Entity) is a potato edible tuber of variety x₂ (Taxon)
patxu	x₁ (Entity) is a pot or kettle or urn or tub or sink deep container for contents x₂ (Entity) of material x₃ (Entity)
pelji	x₁ (Entity) is paper from source x₂ (Entity)
pelxu	x₁ (Entity) is yellow or golden in color
pemci	x₁ (Text) is a poem or verse about subject x₂ (Entity) by author x₃ (Entity) for audience x₄ (Entity or Group<Entity>)
penbi	x₁ (Entity) is a pen using ink x₂ (Entity) applied by process x₃ (nu, Event)
pencu	x₁ (Entity) touches x₂ (Entity) with x₃ (Entity) at locus x₄ (Entity)
pendo	x₁ (Entity) is a friend of x₂ (Entity)
penmi	x₁ (Entity) meets or encounters x₂ (Entity) at location x₃ (Location)
pensi	x₁ (Entity) thinks or considers or reasons about subject x₂ (Entity or Abstraction)
perli	x₁ (Entity) is a pear of species x₂ (Taxon)
pesxu	x₁ (Entity) is paste or pulp or dough or mud or slurry of composition x₂ (Entity)
petso	x₁ (Entity) is 10^15 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
pezli	x₁ (Entity) is a leaf of plant x₂ (Entity)
picti	x₁ (Entity) is 10^-12 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
pijne	x₁ (Entity) is a pin or peg tool for fastening to or piercing x₂ (Entity) made of material x₃ (Entity)
pikci	x₁ (Entity) begs or pleads or supplicates x₂ (Entity) for x₃ (Entity or nu, Event)
pikta	x₁ (Entity) is a ticket entitling x₂ (Entity) to privilege x₃ (nu, Event or State) under conditions x₄ (nu, Event)
pilji	x₁ (Number) is the product of factor x₂ (Number) multiplied by factor x₃ (Number)
pilka	x₁ (Entity) is a crust or rind or peel or skin outer cover of x₂ (Entity)
pilno	x₁ (Entity) uses or employs tool or apparatus or agent x₂ (Entity) for purpose x₃ (nu, Event)
pimlu	x₁ (Entity) is a feather or plumage body-part of animal x₂ (Organism)
pinca	x₁ (Entity) is urine of x₂ (Entity)
pindi	x₁ (Entity) is poor or indigent in goods or possessions x₂ (Entity or Group<Entity>)
pinfu	x₁ (Entity) is a prisoner or captive of x₂ (Entity) restrained by means or force x₃ (Entity or nu, Event)
pinji	x₁ (Entity) is a clitoris or penis reproductive organ body-part of x₂ (Organism)
pinka	x₁ (Text) is a comment or remark or observation about subject x₂ (Entity) expressed by x₃ (Entity) to audience x₄ (Entity or Group<Entity>)
pinsi	x₁ (Entity) is a pencil or crayon or stylus applying marking material x₂ (Entity) with frame x₃ (Entity)
pinta	x₁ (Entity) is flat or level or horizontal in gravity or frame x₂ (Entity)
pinxe	x₁ (Entity) drinks beverage x₂ (Entity) from container x₃ (Entity)
pipno	x₁ (Entity) is a piano or harpsichord or synthesizer or organ keyboard musical instrument
pixra	x₁ (Entity) is a picture or illustration representing x₂ (Entity) made by artist x₃ (Entity) in medium x₄ (Entity)
