lojbo	lojbo gi'e nu'o bredi	glico
ni'o «lu do du'i ka'e cusku –sei la sipsmacu noi simlu lo ka sipna tavla cu jmina– lo se du'u «lu mi vasxu ze'a lo nu sipna li'u» mintu «lu mi sipna ze'a lo nu vasxu li'u»	ni'o lu do du'i ka'e cusku –sei la sipsmacu noi simlu lo ka sipna tavla cu jmina– lo se du'u lu mi vasxu ze'a lo nu sipna li'u mintu lu mi sipna ze'a lo nu vasxu li'u	You might just as well say,' added the Dormouse, who seemed to be talking in his sleep, 'that "I breathe when I sleep" is the same thing as "I sleep when I breathe"!'
ni'o «lu ja'a mintu sera'a do –sei la mapypre cu cusku– li'u» .i ca bo lo nu casnu cu ve denpa .i lo kansi'u cu smaji zutse ze'a lo mentu ca'o lo nu la .alis. cu pensi pi ro da poi .abu morji ke'a lo korvo .a lo ciska jubme zi'e noi na mutce	ni'o lu ja'a mintu sera'a do –sei la mapypre cu cusku– li'u .i ca bo lo nu casnu cu ve denpa .i lo kansi'u cu smaji zutse ze'a lo mentu ca'o lo nu la .alis. cu pensi pi ro da poi .abu morji ke'a lo korvo .a lo ciska jubme zi'e noi na mutce	It IS the same thing with you,' said the Hatter, and here the conversation dropped, and the party sat silent for a minute, while Alice thought over all she could remember about ravens and writing-desks, which wasn't much.
ni'o la mapypre cu pa moi lo co'u smaji ni'o «lu lo xo moi be lo masti djedi cu detri –sei my fa'a la .alis. cu cusku– li'u» .i my lo junla ba'o cpacu lo daski gi'e ca'o xanka catlu gi'e di'i nai desygau gi'e jbipu'i lo my kerlo	ni'o la mapypre cu pa moi lo co'u smaji ni'o lu lo xo moi be lo masti djedi cu detri –sei my fa'a la .alis. cu cusku– li'u .i my lo junla ba'o cpacu lo daski gi'e ca'o xanka catlu gi'e di'i nai desygau gi'e jbipu'i lo my kerlo	The Hatter was the first to break the silence. 'What day of the month is it?' he said, turning to Alice: he had taken his watch out of his pocket, and was looking at it uneasily, shaking it every now and then, and holding it to his ear.
ni'o la .alis. ze'i pensi gi'e cusku «lu lo vo moi li'u»	ni'o la .alis. ze'i pensi gi'e cusku lu lo vo moi li'u	Alice considered a little, and then said 'The fourth.'
ni'o «lu .oi ri'e srera la'u lo djedi be li re –sei la mapypre cu cusku– .i mi do pu jungau lo du'u lo matne na mapti lo minji –sei my jmina– li'u» .i my fengu catlu la cibmasti cicyractu	ni'o lu .oi ri'e srera la'u lo djedi be li re –sei la mapypre cu cusku– .i mi do pu jungau lo du'u lo matne na mapti lo minji –sei my jmina– li'u .i my fengu catlu la cibmasti cicyractu	Two days wrong!' sighed the Hatter. 'I told you butter wouldn't suit the works!' he added looking angrily at the March Hare.
ni'o «lu ra ba'e xagrai lo matne –sei la cibmasti cicyractu cu cumla spuda– li'u»	ni'o lu ra ba'e xagrai lo matne –sei la cibmasti cicyractu cu cumla spuda– li'u	It was the BEST butter,' the March Hare meekly replied.
ni'o «lu go'i .i ku'i la'a lo ji'a nanba spisa cu nerbi'o –sei la mapypre cu fegmli pante– .i .ei do ra na pu setca se pi'o lo nanba dakfu li'u»	ni'o lu go'i .i ku'i la'a lo ji'a nanba spisa cu nerbi'o –sei la mapypre cu fegmli pante– .i .ei do ra na pu setca se pi'o lo nanba dakfu li'u	Yes, but some crumbs must have got in as well,' the Hatter grumbled: 'you shouldn't have put it in with the bread-knife.'
ni'o la cibmasti cicyractu lo junla cu jgari gi'e tolgei catlu gi'e jirgau lo kabri tcati gi'e re re'u catlu .i ku'i cycy na kakne lo nu pensi lo se cusku poi xagmau lo pa moi pinka no'u «lu ga'i cu'i ra ba'e xagrai lo matne li'u»	ni'o la cibmasti cicyractu lo junla cu jgari gi'e tolgei catlu gi'e jirgau lo kabri tcati gi'e re re'u catlu .i ku'i cycy na kakne lo nu pensi lo se cusku poi xagmau lo pa moi pinka no'u lu ga'i cu'i ra ba'e xagrai lo matne li'u	The March Hare took the watch and looked at it gloomily: then he dipped it into his cup of tea, and looked at it again: but he could think of nothing better to say than his first remark, 'It was the BEST butter, you know.'
ni'o la .alis. pu ca'o kucli catlu ga'u lo cycy janco .i «lu .a'u xajmi junla –sei .abu te pinka– .i ue jy sinxa lo du'u lo xo kau moi be lo masti djedi cu detri .e nai ku'i lo du'u ma kau tcika li'u»	ni'o la .alis. pu ca'o kucli catlu ga'u lo cycy janco .i lu .a'u xajmi junla –sei .abu te pinka– .i .ue jy sinxa lo du'u lo xo kau moi be lo masti djedi cu detri .e nai ku'i lo du'u ma kau tcika li'u	Alice had been looking over his shoulder with some curiosity. 'What a funny watch!' she remarked. 'It tells the day of the month, and doesn't tell what o'clock it is!'
ni'o «lu .ei ki'u ma ja'a go'i –sei la mapypre cu cusku– .i xu lo ba'e do junla cu sinxa lo du'u lo xo kau moi nanca cu detri li'u»	ni'o lu .ei ki'u ma ja'a go'i –sei la mapypre cu cusku– .i xu lo ba'e do junla cu sinxa lo du'u lo xo kau moi nanca cu detri li'u	Why should it?' muttered the Hatter. 'Does YOUR watch tell you what year it is?'
ni'o «lu li'a na go'i –sei la .alis. cu mutce sutra spuda– .i ku'i la'e di'u se krinu lo nu ze'u stali fa lo nanca be li pa li'u»	ni'o lu li'a na go'i –sei la .alis. cu mutce sutra spuda– .i ku'i la'e di'u se krinu lo nu ze'u stali fa lo nanca be li pa li'u	Of course not,' Alice replied very readily: 'but that's because it stays the same year for such a long time together.'
ni'o «lu mintu sa'e lo me ba'e mi moi –sei la mapypre cu cusku– li'u»	ni'o lu mintu sa'e lo me ba'e mi moi –sei la mapypre cu cusku– li'u	Which is just the case with MINE,' said the Hatter.
ni'o la .alis. cu cinmo lo ka mutce se cfipu .i lo pinka be fi la mapypre cu simlu lo ka no da smuni ke'a kei gi'e ku'i ja'a lojbo .i «lu mi na mulno jimpe –sei .abu se rai lo ka clite cu cusku– li'u»	ni'o la .alis. cu cinmo lo ka mutce se cfipu .i lo pinka be fi la mapypre cu simlu lo ka no da smuni ke'a kei gi'e ku'i ja'a lojbo .i lu mi na mulno jimpe –sei .abu se rai lo ka clite cu cusku– li'u	Alice felt dreadfully puzzled. The Hatter's remark seemed to have no sort of meaning in it, and yet it was certainly English. 'I don't quite understand you,' she said, as politely as she could.
ni'o «lu la sipsmacu za'u re'u sipna –sei la mapypre cu cusku– li'u» .i my falcru pi so'u lo glare tcati lo sy nazbi	ni'o lu la sipsmacu za'u re'u sipna –sei la mapypre cu cusku– li'u .i my falcru pi so'u lo glare tcati lo sy nazbi	The Dormouse is asleep again,' said the Hatter, and he poured a little hot tea upon its nose.
ni'o la sipsmacu cu tolsurla desygau lo stedu gi'e cusku se cau lo nu kargau lo kanla kei «lu li'a li'a .i di'u sai pu'o pinka fi mi li'u»	ni'o la sipsmacu cu tolsurla desygau lo stedu gi'e cusku se cau lo nu kargau lo kanla kei lu li'a li'a .i di'u sai pu'o pinka fi mi li'u	The Dormouse shook its head impatiently, and said, without opening its eyes, 'Of course, of course; just what I was going to remark myself.'
ni'o «lu xu do ba'o smadi tu'a lo zdifanza nabmi –sei la mapypre fi la .alis. cu cusku– li'u»	ni'o lu xu do ba'o smadi tu'a lo zdifanza nabmi –sei la mapypre fi la .alis. cu cusku– li'u	Have you guessed the riddle yet?' the Hatter said, turning to Alice again.
ni'o «lu na go'i .i mi te jinga –sei la .alis. cu spuda– .i ma danfu li'u»	ni'o lu na go'i .i mi te jinga –sei la .alis. cu spuda– .i ma danfu li'u	No, I give it up,' Alice replied: 'what's the answer?'
ni'o «lu mi na te sidbo la'e di'u lo cmarai ji'a sai –sei la mapypre cu cusku– li'u»	ni'o lu mi na te sidbo la'e di'u lo cmarai ji'a sai –sei la mapypre cu cusku– li'u	I haven't the slightest idea,' said the Hatter.
ni'o «lu mi go'i –sei la cibmasti cicyractu cu cusku– li'u»	ni'o lu mi go'i –sei la cibmasti cicyractu cu cusku– li'u	Nor I,' said the March Hare.
ni'o la .alis. cu tatpi patyva'u .i «lu pe'i do ka'e se prali lo temci –sei .abu cusku– ta'i lo xagmau be lo nu xaksu ty ta'i lo nu preti fa lo zdifanza nabmi poi na se danfu li'u»	ni'o la .alis. cu tatpi patyva'u .i lu pe'i do ka'e se prali lo temci li'u se cusku .abu fa lu ta'i lo xagmau be lo nu xaksu ty ta'i lo nu preti fa lo zdifanza nabmi poi na se danfu li'u	Alice sighed wearily. 'I think you might do something better with the time,' she said, 'than waste it in asking riddles that have no answers.'
ni'o «lu do va'o lo nu se slabu la temci du'i lo nu mi no'a –sei la mapypre cu cusku– cu na pilno zo lo lo nu cmene ty .i zo la mapti li'u»	ni'o lu do va'o lo nu se slabu la temci du'i lo nu mi no'a –sei la mapypre cu cusku– cu na pilno zo lo lo nu cmene ty .i zo la mapti li'u	If you knew Time as well as I do,' said the Hatter, 'you wouldn't talk about wasting IT. It's HIM.'
ni'o «lu mi na jimpe lo du'u do skudji ma kau –sei la .alis. cu cusku– li'u»	ni'o lu mi na jimpe lo du'u do skudji ma kau li'u se cusku la .alis.	I don't know what you mean,' said Alice.
ni'o «lu li'a do na go'i –sei la mapypre cu stedu muvgau tolsi'a cusku– .i la'a do no roi tavla ji'a sai la temci li'u»	ni'o lu li'a do na go'i –sei la mapypre cu stedu muvgau tolsi'a cusku– .i la'a do no roi tavla ji'a sai la temci li'u	Of course you don't!' the Hatter said, tossing his head contemptuously. 'I dare say you never even spoke to Time!'
ni'o «lu ie ru'e –sei la .alis. cu kajde spuda– .i ku'i ju'o .ei mi darxi do'e lo temci ca lo nu mi cilre lo nu se zgike li'u»	ni'o lu .ie ru'e –sei la .alis. cu kajde spuda– .i ku'i ju'o .ei mi darxi do'e lo temci ca lo nu mi cilre lo nu se zgike li'u	Perhaps not,' Alice cautiously replied: 'but I know I have to beat time when I learn music.'
ni'o «lu ua la'e di'u ve ciksi –sei la mapypre cu cusku– .i ty na nelci lo nu darxi .i ty va'o lo nu se pendo do cu gasnu so'a se nelci be do ri'i lo junla .i mu'a da'i li so ca tcika lo nu co'a tadni .i lo nu do ja'a ru'e stidi fi ty cu banzu lo nu lo junla mo'u ze'i cukli'u .i uo li pa ci pi'e ci no ca tcika lo nu citka li'u»	ni'o lu .ua la'e di'u ve ciksi –sei la mapypre cu cusku– .i ty na nelci lo nu darxi .i ty va'o lo nu se pendo do cu gasnu so'a se nelci be do ri'i lo junla .i mu'a da'i li so ca tcika lo nu co'a tadni .i lo nu do ja'a ru'e stidi fi ty cu banzu lo nu lo junla mo'u ze'i cukli'u .i .uo li pa ci pi'e ci no ca tcika lo nu citka li'u	Ah! that accounts for it,' said the Hatter. 'He won't stand beating. Now, if you only kept on good terms with him, he'd do almost anything you liked with the clock. For instance, suppose it were nine o'clock in the morning, just time to begin lessons: you'd only have to whisper a hint to Time, and round goes the clock in a twinkling! Half-past one, time for dinner!'
(to «lu .au go'i –sei la cibmasti cicyractu cu lauble sezysku– li'u» toi)	(to fe lu .au go'i –li'u fa la cibmasti cicyractu cu lauble cusku fi lo nei toi)	('I only wish it was,' the March Hare said to itself in a whisper.)
ni'o «lu la'e di'u da'i banli ju'o –sei la .alis. cu pensi cusku– .i ku'i va'o ku mi na xagji li'u»	ni'o lu la'e di'u da'i banli ju'o –sei la .alis. cu pensi cusku– .i ku'i va'o ku mi na xagji li'u	That would be grand, certainly,' said Alice thoughtfully: 'but then—I shouldn't be hungry for it, you know.'
ni'o «lu ie ru'e go'i ca lo cfari –sei la mapypre cu cusku– .i ku'i .e'e li pa ci pi'e ci no za'o tcika ze'u lo do se djica li'u»	ni'o lu .ie ru'e go'i ca lo cfari –sei la mapypre cu cusku– .i ku'i .e'e li pa ci pi'e ci no za'o tcika ze'u lo do se djica li'u	Not at first, perhaps,' said the Hatter: 'but you could keep it to half-past one as long as you liked.'
ni'o «lu xu la'e di'u tadji lo nu ba'e do zukte –sei la .alis. cu retsku– li'u»	ni'o lu xu la'e di'u tadji lo nu ba'e do zukte –sei la .alis. cu retsku– li'u	Is that the way YOU manage?' Alice asked.
ni'o la mapypre cu tolgei desygau lo stedu .i «lu na go'i –sei my spuda– .i mi'a da'arsi'u ca lo pu zi cibmasti .i ba zi bo ba'e tu fenki binxo za'a dai –sei my lo tcati smuci lo nu farja'o la cibmasti cicyractu cu pilno– .i fasnu ca lo banli ke zgike se tigni be la noltruni'u pe lo risna .i mi bilga lo nu sanga di'e	ni'o la mapypre cu tolgei desygau lo stedu .i lu na go'i –sei my spuda– .i mi'a da'arsi'u ca lo pu zi cibmasti .i ba zi bo ba'e tu fenki binxo za'a dai –sei my lo tcati smuci lo nu farja'o la cibmasti cicyractu cu pilno– .i fasnu ca lo banli ke zgike se tigni be la noltruni'u pe lo risna .i mi bilga lo nu sanga di'e	The Hatter shook his head mournfully. 'Not I!' he replied. 'We quarrelled last March—just before HE went mad, you know—' (pointing with his tea spoon at the March Hare,) '—it was at the great concert given by the Queen of Hearts, and I had to sing
.i gu'irgu'i doi volratcu	.i gu'irgu'i doi volratcu	"Twinkle, twinkle, little bat!
.i .u'e .a'u do ma klatcu	.i .u'e .a'u do ma klatcu	How I wonder what you're at!"
.i .a'u xu lo selsanga do slabu li'u»	.i .a'u xu lo selsanga do slabu li'u	You know the song, perhaps?'
ni'o «lu mi pu tirna lo simsa –sei la .alis. cu cusku– li'u»	ni'o lu mi pu tirna lo simsa li'u se cusku la .alis.	I've heard something like it,' said Alice.
ni'o «lu di'a co'e –sei la mapypre di'a cusku– di'e	ni'o lu di'a co'e –sei la mapypre di'a cusku– di'e	It goes on, you know,' the Hatter continued, 'in this way:—
.i do munje gapru vofli	.i do munje gapru vofli	"Up above the world you fly,
tcatypalne simsa trofli	tcatypalne simsa trofli	Like a tea-tray in the sky.
.i gu'irgu'i––	.i gu'irgu'i––	Twinkle, twinkle—"'
li'u» ni'o ca ku la sipsmacu cu desyzu'e gi'e co'a sanga ca lo nu sipna «lu gu'irgu'i gu'irgu'i li'u» gi'e ze'u za'o co'e ja'e lo nu sarcu fa lo nu tunta sy kei lo nu stigau sy	li'u ni'o ca ku la sipsmacu cu desyzu'e gi'e co'a sanga ca lo nu sipna lu gu'irgu'i gu'irgu'i li'u gi'e ze'u za'o co'e ja'e lo nu sarcu fa lo nu tunta sy kei lo nu stigau sy	Here the Dormouse shook itself, and began singing in its sleep 'Twinkle, twinkle, twinkle, twinkle—' and went on so long that they had to pinch it to make it stop.
ni'o «lu no'i mi pu zi ba'o mulgau lo pa moi pempau –sei la mapypre cu cusku– ca lo nu la noltruni'u cu zunti gi'e krixa «lu ta catra lo temci .i ko lo stedu ta vimcu li'u li'u»»	ni'o lu no'i mi pu zi ba'o mulgau lo pa moi pempau –sei la mapypre cu cusku– ca lo nu la noltruni'u cu zunti gi'e krixa lu ta catra lo temci .i ko lo stedu ta vimcu li'u li'u	Well, I'd hardly finished the first verse,' said the Hatter, 'when the Queen jumped up and bawled out, "He's murdering the time! Off with his head!"'
ni'o «lu .oi selte'a cilce –sei la .alis. cu ki'asku– li'u»	ni'o lu .oi selte'a cilce –sei la .alis. cu ki'asku– li'u	How dreadfully savage!' exclaimed Alice.
ni'o «lu co'a la'e di'u –sei la mapypre di'a tolgei cusku– ty zukte no se cpedu be mi .i ca ze'e ru'i tcika fa li xa li'u»	ni'o lu co'a la'e di'u –sei la mapypre di'a tolgei cusku– ty zukte no se cpedu be mi .i ca ze'e ru'i tcika fa li xa li'u	And ever since that,' the Hatter went on in a mournful tone, 'he won't do a thing I ask! It's always six o'clock now.'
ni'o lo carmi sidbo cu se pensi la .alis. .i «lu ua xu la'e di'u krinu lo nu so'i ue tcati dacti cu zvati –sei .abu retsku– li'u»	ni'o lo carmi sidbo cu se pensi la .alis. .i lu .ua xu la'e di'u krinu lo nu so'i .ue tcati dacti cu zvati –sei .abu retsku– li'u	A bright idea came into Alice's head. 'Is that the reason so many tea-things are put out here?' she asked.
ni'o «lu ja'a go'i –sei la mapypre cu va'urpante cusku– .i ru'i tcika lo tcati sanmi .i mi'a no roi kakne lo nu lumci lo dacti ca lo jbini li'u»	ni'o lu ja'a go'i –sei la mapypre cu va'urpante cusku– .i ru'i tcika lo tcati sanmi .i mi'a no roi kakne lo nu lumci lo dacti ca lo jbini li'u	Yes, that's it,' said the Hatter with a sigh: 'it's always tea-time, and we've no time to wash the things between whiles.'
ni'o «lu ja'o ru'a do za'o muvdu fo lo cukla –sei la .alis. cu cusku– li'u»	ni'o lu ja'o ru'a do za'o muvdu fo lo cukla li'u se cusku la .alis.	Then you keep moving round, I suppose?' said Alice.
ni'o «lu go'i sa'e –sei la mapypre cu cusku– ca lo nu so'o lo dacti mo'u se xaksu li'u»	ni'o lu go'i sa'e –sei la mapypre cu cusku– ca lo nu so'o lo dacti mo'u se xaksu li'u	Exactly so,' said the Hatter: 'as the things get used up.'
ni'o «lu ku'i ma fasnu ca lo nu do xruti lo cfari –sei la .alis. cu retsku darsi– li'u»	ni'o lu ku'i ma fasnu ca lo nu do xruti lo cfari –sei la .alis. cu retsku darsi– li'u	But what happens when you come to the beginning again?' Alice ventured to ask.
ni'o «lu .e'u mi'o galfi lo se casnu –sei la cibmasti cicyractu cu zunti je sipfru– .i mi ti tatpi .i mi sarji lo nu da lisri zo'e lo citno ninmu mi'a li'u»	ni'o lu .e'u mi'o galfi lo se casnu –sei la cibmasti cicyractu cu zunti je sipfru– .i mi ti tatpi .i mi sarji lo nu da lisri zo'e lo citno ninmu mi'a li'u	Suppose we change the subject,' the March Hare interrupted, yawning. 'I'm getting tired of this. I vote the young lady tells us a story.'
ni'o «lu .u'u no da mi slabu –sei la .alis. noi xanka lo se stidi cu cusku– li'u»	ni'o lu .u'u no da mi slabu –sei la .alis. noi xanka lo se stidi cu cusku– li'u	I'm afraid I don't know one,' said Alice, rather alarmed at the proposal.
ni'o «lu va'o la'e di'u la sipsmacu ba co'e –sei lo re mei cu krixa– .i ko cikybi'o doi sipsmacu li'u» .i lo re mei cu tunta sy lo re mlana ca lo mintu	ni'o lu va'o la'e di'u la sipsmacu ba co'e –sei lo re mei cu krixa– .i ko cikybi'o doi sipsmacu li'u .i lo re mei cu tunta sy lo re mlana ca lo mintu	Then the Dormouse shall!' they both cried. 'Wake up, Dormouse!' And they pinched it on both sides at once.
.i la sipsmacu cu masno kargau lo kanla .i «lu mi na pu sipna –sei se pi'o lo rufsu je ruble voksa sy cusku– .i mi pu tirna ro valsi poi do doi ci mei ca'o cusku li'u»	.i la sipsmacu cu masno kargau lo kanla .i lu mi na pu sipna –sei se pi'o lo rufsu je ruble voksa sy cusku– .i mi pu tirna ro valsi poi do doi ci mei ca'o cusku li'u	The Dormouse slowly opened his eyes. 'I wasn't asleep,' he said in a hoarse, feeble voice: 'I heard every word you fellows were saying.'
ni'o «lu ko te lisri fo mi'a –sei la cibmasti cicyractu cu cusku– li'u»	ni'o lu ko te lisri fo mi'a –sei la cibmasti cicyractu cu cusku– li'u	Tell us a story!' said the March Hare.
ni'o «lu .e'o go'i pe'u –sei la .alis. cu cpesku– li'u»	ni'o lu .e'o go'i pe'u –sei la .alis. cu cpesku– li'u	Yes, please do!' pleaded Alice.
ni'o «lu ji'a ko sutra –sei la mapypre cu jmina– .i se va'o nai bo do ba sipna pu lo nu mulno li'u»	ni'o lu ji'a ko sutra –sei la mapypre cu jmina– .i se va'o nai bo do ba sipna pu lo nu mulno li'u	And be quick about it,' added the Hatter, 'or you'll be asleep again before it's done.'
ni'o «lu pu zu vu ku lo ci cmalu mensi zo'u: –sei la sipsmacu cu mutce sutra tolsisti– zo .elsis. fa'u zo .lesis. fa'u zo .tilis. cu cmene .i my xabju lo loldi be lo jintyke'a li'u»	ni'o lu pu zu vu ku lo ci cmalu mensi zo'u: –sei la sipsmacu cu mutce sutra tolsisti– zo .elsis fa'u zo lesis fa'u zo tilis cu cmene .i my xabju lo loldi be lo jintyke'a li'u	Once upon a time there were three little sisters,' the Dormouse began in a great hurry; 'and their names were Elsie, Lacie, and Tillie; and they lived at the bottom of a well—'
ni'o «lu ma my cidja –sei la .alis. noi ro roi se cinri lo du'u citka je pinxe ma kau cu cusku– li'u»	ni'o lu ma my cidja –sei la .alis. noi ro roi se cinri lo du'u citka je pinxe ma kau cu cusku– li'u	What did they live on?' said Alice, who always took a great interest in questions of eating and drinking.
ni'o «lu lo satyjisra my cidja –sei la sipsmacu ba lo nu pensi ze'a lo mentu be li ji'i re cu cusku– li'u»	ni'o lu lo satyjisra my cidja –sei la sipsmacu ba lo nu pensi ze'a lo mentu be li ji'i re cu cusku– li'u	They lived on treacle,' said the Dormouse, after thinking a minute or two.
ni'o «lu ka'u na ka'e go'i –sei la .alis. cu xendo te pinka– .i va'o da'i ku my bilma li'u»	ni'o lu ka'u na ka'e go'i –sei la .alis. cu xendo te pinka– .i va'o da'i ku my bilma li'u	They couldn't have done that, you know,' Alice gently remarked; 'they'd have been ill.'
ni'o «lu ja'a go'i –sei la sipsmacu cu cusku– .i ba'e mutce lo ka bilma li'u»	ni'o lu ja'a go'i –sei la sipsmacu cu cusku– .i ba'e mutce lo ka bilma li'u	So they were,' said the Dormouse; 'VERY ill.'
ni'o la .alis. cu troci lo nu se xanri lo nu lo tai tolfadni ke jmive tadji cu simsa ma kau .i ku'i dukse lo ka cfipu .abu .i se ki'u bo .abu di'a cusku «lu .i ku'i ki'u ma my xabju lo loldi be lo jintyke'a li'u»	ni'o la .alis. cu troci lo nu se xanri lo nu lo tai tolfadni ke jmive tadji cu simsa ma kau .i ku'i dukse lo ka cfipu .abu .i se ki'u bo .abu di'a cusku lu .i ku'i ki'u ma my xabju lo loldi be lo jintyke'a li'u	Alice tried to fancy to herself what such an extraordinary ways of living would be like, but it puzzled her too much, so she went on: 'But why did they live at the bottom of a well?'
ni'o «lu ko za'u re'u pinxe lo tcati –sei la cibmasti cicyractu fi la .alis. cu mutce junri cusku– li'u»	ni'o lu ko za'u re'u pinxe lo tcati –sei la cibmasti cicyractu fi la .alis. cu mutce junri cusku– li'u	Take some more tea,' the March Hare said to Alice, very earnestly.
ni'o «lu mi no roi pu pinxe –sei la .alis. cu cnicro spuda– .i se ni'i bo mi na ka'e za'u re'u go'i li'u»	ni'o lu mi no roi pu pinxe –sei la .alis. cu cnicro spuda– .i se ni'i bo mi na ka'e za'u re'u go'i li'u	I've had nothing yet,' Alice replied in an offended tone, 'so I can't take more.'
ni'o «lu do skudji lo du'u do na ka'e ba'e me'i re'u pinxe –sei la mapypre cu cusku– .i frili fa lo nu za'u no re'u go'i li'u»	ni'o lu do skudji lo du'u do na ka'e ba'e me'i re'u pinxe –sei la mapypre cu cusku– .i frili fa lo nu za'u no re'u go'i li'u	You mean you can't take LESS,' said the Hatter: 'it's very easy to take MORE than nothing.'
ni'o «lu no da cpedu lo ba'e do se jinvi –sei la .alis. cu cusku– li'u»	ni'o lu no da cpedu lo ba'e do se jinvi li'u se cusku la .alis.	Nobody asked YOUR opinion,' said Alice.
ni'o «lu ma cusku lo prenu pinka ca ku –sei la mapypre cu jinga reisku– li'u»	ni'o lu ma cusku lo prenu pinka ca ku –sei la mapypre cu jinga reisku– li'u	Who's making personal remarks now?' the Hatter asked triumphantly.
ni'o la .alis. na kakne lo nu spuda la'e di'u .i se ki'u bo .abu selfu vo'a lo nu cpacu lo tcati jo'u lo nanba joi matne kei gi'e ba bo re re'u te preti fo la sipsmacu fi «lu ki'u ma my xabju lo loldi be lo jintyke'a li'u»	ni'o la .alis. na kakne lo nu spuda la'e di'u .i se ki'u bo .abu selfu vo'a lo nu cpacu lo tcati jo'u lo nanba joi matne kei gi'e ba bo re re'u te preti fo la sipsmacu fi lu ki'u ma my xabju lo loldi be lo jintyke'a li'u	Alice did not quite know what to say to this: so she helped herself to some tea and bread-and-butter, and then turned to the Dormouse, and repeated her question. 'Why did they live at the bottom of a well?'
ni'o la sipsmacu za'u re'u pensi ze'a lo mentu be li ji'i re gi'e ba bo cusku «lu jy satyjisra jintyke'a li'u»	ni'o la sipsmacu za'u re'u pensi ze'a lo mentu be li ji'i re gi'e ba bo cusku lu jy satyjisra jintyke'a li'u	The Dormouse again took a minute or two to think about it, and then said, 'It was a treacle-well.'
ni'o «lu .o'o nai no go'i cu zasti –sei la .alis. co'a fengu cusku– li'u» .i ku'i la mapypre jo'u la cibmasti cicyractu cu bacru zoi sance c c sance .i la sipsmacu cu pante te pinka fi «lu .e'e do se'a dai mulgau lo lisri va'o lo nu do na ka'e clite li'u»	ni'o lu .o'o nai no go'i cu zasti –sei la .alis. co'a fengu cusku– li'u .i ku'i la mapypre jo'u la cibmasti cicyractu cu bacru zoi sance c c sance .i la sipsmacu cu pante te pinka fi lu .e'e do se'a dai mulgau lo lisri va'o lo nu do na ka'e clite li'u	There's no such thing!' Alice was beginning very angrily, but the Hatter and the March Hare went 'Sh! sh!' and the Dormouse sulkily remarked, 'If you can't be civil, you'd better finish the story for yourself.'
ni'o «lu na go'i .i .e'o do ja'a di'a go'i –sei la .alis. cu mutce cumla cusku– .i mi na ba za'u re'u zunti .i .i'a cumki fa lo nu lo ba'e pa go'a cu zasti li'u»	ni'o lu na go'i .i .e'o do ja'a di'a go'i –sei la .alis. cu mutce cumla cusku– .i mi na ba za'u re'u zunti .i .i'a cumki fa lo nu lo ba'e pa go'a cu zasti li'u	No, please go on!' Alice said very humbly; 'I won't interrupt again. I dare say there may be ONE.'
ni'o «lu zasti ju'o –sei la sipsmacu cu se si'arxai fengu cusku– li'u» .i ku'i sy nalpro fi lo nu di'a co'e .i «lu lo bi'u nai ci cmalu mensi noi ca'o crebi'o lo nu te pixra li'u»	ni'o lu zasti ju'o –sei la sipsmacu cu se si'arxai fengu cusku– li'u .i ku'i sy nalpro fi lo nu di'a co'e .i lu lo bi'u nai ci cmalu mensi noi ca'o crebi'o lo nu te pixra li'u	One, indeed!' said the Dormouse indignantly. However, he consented to go on. 'And so these three little sisters—they were learning to draw, you know—'
ni'o «lu pixra ma my –sei la .alis. noi ca'o tolmorji lo se nupre cu cusku– li'u»	ni'o lu pixra ma my –sei la .alis. noi ca'o tolmorji lo se nupre cu cusku– li'u	What did they draw?' said Alice, quite forgetting her promise.
ni'o «lu lo satyjisra –sei ca ku la sipsmacu se cau lo nu pensi cu cusku– li'u»	ni'o lu lo satyjisra –sei ca ku la sipsmacu se cau lo nu pensi cu cusku– li'u	Treacle,' said the Dormouse, without considering at all this time.
ni'o «lu mi djica lo jinsa kabri –sei la mapypre cu zunti– .i .e'u ro mi'o muvdu lo lamji stuzi li'u»	ni'o lu mi djica lo jinsa kabri –sei la mapypre cu zunti– .i .e'u ro mi'o muvdu lo lamji stuzi li'u	I want a clean cup,' interrupted the Hatter: 'let's all move one place on.'
ni'o my muvdu ca lo nu cusku .i la sipsmacu my jersi .i la cibmasti cicyractu cu muvdu lo pu se zvati be la sipsmacu .i la .alis. noi banzu naldjica cu basti la cibmasti cicyractu lo ka ce'u zvati ma kau .i la mapypre po'o cu se prali da lo nuncenba .i la .alis. cu se tolprali lo mutce ki'u lo nu la cibmasti cicyractu pu zi falcru lo ladru botpi lo cycy palta	ni'o my muvdu ca lo nu cusku .i la sipsmacu my jersi .i la cibmasti cicyractu cu muvdu lo pu se zvati be la sipsmacu .i la .alis. noi banzu naldjica cu basti la cibmasti cicyractu lo ka ce'u zvati ma kau .i la mapypre po'o cu se prali da lo nuncenba .i la .alis. cu se tolprali lo mutce ki'u lo nu la cibmasti cicyractu pu zi falcru lo ladru botpi lo cycy palta	He moved on as he spoke, and the Dormouse followed him: the March Hare moved into the Dormouse's place, and Alice rather unwillingly took the place of the March Hare. The Hatter was the only one who got any advantage from the change: and Alice was a good deal worse off than before, as the March Hare had just upset the milk-jug into his plate.
