jbovla	lojbo	glico
le	le pa sazri ca denpa	A driver waits.
le	mi pu viska le pa fetsi i ri melbi	I saw a female. She is pretty.
le'e	lo'e cipni cu kakne le ka vofli i mi tadni le'e cipni	Typical birds can fly. And I study such birds.
le'o	le mi'u'o ro ko tinbe fi mi	Everybody follow my orders!
le'o	le mi'u'o cu'i sa'u mi pu retsku zo'ei le nu do se la'u li xo kau kanro	Hey, I just asked you about your health.
le'o	le mi'u'o nai mi jimpe le du'u ei mi zutse ti	Okay, okay, I understand that I have to sit here.
lebna	le mi'u za'u mei pu lebna fi mi fe le ka se krali le ka ponse le mi'u karce	They took my rights on owning the car.
lebna	mi pu lebna pa titla le mi'u tanxe ca le nu le drata na jundi	I took a candy from the box when other weren't attentive.
lei	mi pu zgana lei prenu gi'e ba co'a sanli i ba bo mi pu muvdu fa'a lei mi'u prenu	I noticed a crowd and stood up. After that, I moved into the direction of the crowd.
lenjo	ti lenjo le gusni le darno	This lens focusing light has a long focal length.
lenjo	mi co'a dasni lei lenjo te zu'e le ka sfubu	I put on goggles in order to dive.
lenjo	ko bevri fi mi fe lei lenjo pe mi	Bring me my glasses.
lenku	le vacri cu zenba le ka lenku	It's getting cold.
lenku	le mi'u jisra pe ne'i le mi'u lenku minji pu xlali	The juice in the fridge was no good.
lerci	le nu mi volta le zdani cu lerci le se jinvi be le mamta be mi	According to my mother, I returned home late.
lerfu	zoi ry.д.ry. lerfu le rusko zo d	д is a letter of Russian alphabet representing sound {d}.
letri	le dilnu cu letri le ka cupra le lindi	The cloud are electric in that they produce lightning.
li	li vo cu sumji li re li re	4 is the sum of 2 and 2.
li'a	li'a do xanka	You are clearly worried.
li'a	li'a no da poi te ckini la alis la kevin pu na drani	Clearly, nothing in the relations of Alice to Kevin was amiss.
li'a	li'a mi pu no roi zvati le dzipo tumla	Of course, I have never been to Antarctica.
li'a	li'a nai le tcima cu funca le mi'u solri	Weather depends on the sun, I see, but it's complicated.
li'anpi	ra pu se li'anpi le plana	She had chubby cheeks.
li'anzi	ti li'anzi le barda je rijno	This is a chain with big silver rings.
li'i	le pluka ko li'i se senva	Have a pleasant dream (sweat dreams!)
li'i	le pluka ko li'i se citka	Bon appetite!
li'i	ma do li'i salci	How did you like the party?
li'o	la kevin cu pa moi i la edvard cu re moi i li'o	Kevin is the first. Eduard is the second, and so on.
lidne	le mlatu ba lidne le gerku le ka se casnu ca ma kau	Cats will be discussed before dogs.
lifri	mi pu'i ze'u lifri le nandu	I've had a hard life.
lifri	do ba lifri le nabmi	You'll get into trouble.
lifri	mi pu lifri le nu mi ganse le cizra	I underwent strange sensation.
lijda	le na krici tu'a pa cevni na te lijda	Not believing in God is not a religion.
lijda	la animism cu lijda le remna poi se zdani le vi tumla le du'u ro dacti cu vasru le pruxi	Animism is a religion of people living on this land that asserts that every object contains a spirit.
lijda	do se lijda ma	What is your religion?
limna	e'a nai do limna le xamsi	Don't swim in the sea!
limxone	au mi pinxe le jisra be le limxone	I'd like to drink a lemon juice.
lindi	sa'u tu pe pu ku cu lindi le darno pa dilnu	That was just a lightning that stroke far away from here striking from a cloud.
linji	lei pulji pu se linji le clani te zu'e le ka kurji le cadzu prenu	The police officers formed long lines in order to protect walking people.
linto	le mi'u mlatu verba cu linto	The kitten is lightweight.
lisri	ko skicu pa lisri be le crida mi	Tell me a story about fairies.
liste	mi pu tcidu fi pa liste be le'i notci noi fi ke'a porsi le ka ce'u e ba bo ce'u se benji	I read a log of messages, which were sorted in the order of being sent.
litce	ti noi djacu cu litce li re	It's two liters of water.
litki	ko satre le mi'u litki pa panje	Wipe the liquid with a sponge.
litki	le mi'u bisli ca'o co'a litki	The ice is melting.
litru	mi pu litru le fange gugde	I travelled abroad.
livga	xu le ka citka le livga be le jipci cu xamgu do	Is eating chicken liver good for you?
livla	le mi'u toknu cu se livla le mudri	The furnace is stoked up with wood.
livla	le livla na banzu	There isn't enough fuel.
lo'ai	mi pu vitke le dzipo le mi'u'ai nai	I visited Antarctica (sic!)
lo'ai	mi pu klama le zarci y le'ai pu sa'ai ba le mi'u'ai	I went to the store, ehm, no, will go!
lo'ai	sa'ai ba klama le mi'u'ai pei	Is it "will go" that should have been said?
lo'e	le'e cipni cu kakne le ka vofli	Typical birds can fly.
lo'u	ma smuni le'u vau ua le mi'u'u poi do cusku	What's the meaning of {vau ua} that you said?
logji	le du'u le prina be fi le jamfu be pa nixli cu nenri le mi'u dinju cu logji le du'u la alis pu zvati ti	By the fact that there are footprints of a girl inside the house, one concludes that Alice was here.
loi	lei tadni pu sruri le mi'u dinju	Students surrounded the building.
loi	mi ralte pa lei re gluta	I have a pair of mittens.
lojbo	.i mi lojbo le ka se cinri la .lojban. vau .i je mi na se bangu la .lojban.	I'm a Lojbanic person in that I'm interested in Lojban; I don't speak it.
loldi	mi pu sipna bu'u le loldi be le kumfa pe mi	I slept on the floor of my room.
lorxu	le lorxu cu citka le jipci	Foxes eat hens.
lu	mi pu cusku lu coi le pendo li'u	I said "Hello, friends!"
lu'e	le re cirkulo cu du lu'e le logji	Two circles is a symbol of logic.
lu'e	le vi janbe pe le vorme cu du lu'e mi	This doorbell is to call me.
lujvo	zo ki'ogra lujvo lo ka ce'u grake lo pilji be li pa nonono kei lo ka kilto gi'e grake ce'o lo ka se grake kei lu kilto grake li'u	{ki'ogra} is a lujvo meaning "is a thousand of grams" with arguments referencing relations "what is measured in thousands and is measured in grams", "the number of grams"; affixes of the lujvo are built from {kilto} and {grake} attached sequentially.
lumci	mi pu lumci so'o palta le stali	I washed off the remains from some dishes.
lunbe	le mi'u cifnu ca lunbe	The baby is naked now.
lunra	le mi'u terdi cu se lunra pa da	The Earth has one natural moon.
lunsa	le bisli lunsa pu gacri le mi'u dertu	Frost covered the ground.
lurdei	mi ba gunka ca le jaurdei	I will work on Monday.
luska	ti noi luska cu cpare co masno	This mollusk moves slowly.
ma	do djica ma	What do you want?
ma	ma prenu gi'e pu zvati ti	Who was here?
ma	ma dacti gi'e pu zvati ti	What object was here?
ma	ma nelci mi	Who likes me?
ma'a	ma'a se zdani le bu'u planeta	We inhabit this planet.
ma'a	le rarna munje cu vajni ca lo'e se lifri be ma'a	Nature plays an important role in our lives.
ma'i	le terdi cu cmalu ma'i le plini be le solri	The Earth is a small planet of the Sun.
ma'i	la lojban ma'i le rutni bangu cu se pilno le so'i prenu	Among artificial languages Lojban is spoken by many people.
ma'oi	zo di'ai cmavo ma'oi coi	{di'ai} is a grammatical particle of class "COI" (vocative).
ma'u	li ma'u re du li bi vu'u xa	"+2 = 8 - 6."
mabla	fi mi le mi'u cidja cu mabla le ka se zalvi le denci	For me the food is awful in chewing it.
mabru	le delfinu cu mabru	Dolphins are mammals.
macnu	ti noi karce cu macnu le ka gau cenba le ka sutra	The speed of this car is changed manually.
magneti	le mi'u rokci cu magneti le ka snipa le jinme	The stone is magnetic in that it sticks to metal.
magneti	le mi'u rokci co'u magneti le ka co'a glare	The stone becomes non-magnetic when being heat up.
mai	pa mai la meilis ze'i se zdani ti	First, Mei Li has been living here for a short time.
mai	re mai la meilis ka'e sidju ma'a	Secondly, she can help us.
mai	ro mai la meilis cu stati nixli	Lastly, she is a smart girl.
makcu	le mi'u nanmu cu simlu le ka makcu le ka seksi	The man seems to be mature in his sexuality.
makfa	le nu le mi'u ractu cu canci cu makfa le mi'u verba la djon	The disappearance of the rabbit performed by John was magical for the child.
malsi	ti malsi le budjo	This is a Buddhist temple.
mamta	le mamta be do pu zukte ma ca le nu do mo'u klama le zdani	What was your mother doing when you got home?
manfo	le mi'u bukpu ca manfo le ka se tengu	The cloth is uniform in texture.
mango	mi pu no roi citka le mango	I have never eaten mangoes.
manku	le mi'u kumfa cu manku	The room is dark.
manri	le junla cu manri lo nu djuno fi lo tcika kei lo ka tcidu lo se zvati be lo pagbu be le nei le nei	The clock is a frame of reference for determining time by reading position of its parts from it.
manri	mi manri le nu ma kau ba jinga vau lo ka jdice ma kau	I'm the standard of determining of who will win, however I decide that will be so.
manri	tu voi ve'i cmana ba manri le nu zgana le mi'u tumla	That hill will be the reference frame for observing the land.
mansa	le zdani be mi cu mansa mi le ka tcini bu'u ce'u	I'm satisfied with the conditions in my house.
manti	le sakta cu trina le manti	Sugar attracts ants.
mapku	ai mi dasni le mapku	I'm going to put on the hat.
mapni	le mapni cu zabna	The cotton is of high quality.
mapti	le se cusku be do na mapti le se cusku be le jatna pe do le ka se smuni	Your words are inconsistent in meaning with what your boss said.
mapti	ti ckiku le na mapti be ti noi stela	This is a key incompatible with this lock.
mapti	ta mapti le zabna le ka jai se djica mi	That is exactly what I want.
marbi	pu bapli le nu mi se marbi le laldo dinju fi le su'u mi cilmo	I had to take shelter in an old building in order not to become wet.
marce	ti marce le se vecnu	This is a vehicle for carrying goods.
marce	ti marce ge le se vecnu na'o ku gi le remna ca'a ku	This is a vehicle intended to transport goods but actually used for transporting people.
marde	le ka zukte le se cpedu be le bilma cu marde ei do	Doing what the ill person asks should be you ethics.
margu	xu le margu cu jinme	Is mercury a metal?
marji	ti noi nanba cu marji le mraji le bliku	This bread is made of rye and has the form of a block.
marna	ti skori le marna	This is a cable made of hemp.
marvele	le bu'u stuzi cu marvele mi	This place is marvelous to me.
marxa	mi pu marxa le patlu le pesxu	I made mashed potatoes.
masno	le mi'u verba ca simlu le ka masno le ka cadzu	The child seems to be slow at walking.
masti	le lidne dunra cu masti li ci	The past winter lasted for 3 months.
matci	ko jai mosra le cutci pe do le mi'u matci	Wipe your shoes on the mat.
matli	ti noi creka cu matli	This shirt is linen.
matne	mi pu citka pa snuji be le matne bei le nanba	I ate a sandwich with butter and bread.
matra	ti noi karce cu se matra le vlipa	This car has a powerful engine.
mau	nelci do fa mi ne mau ku'i la alis	I like you but Alice likes you more.
mau'i	ua do ti zvati i ua mau'i ji'a la alis ti zvati	Wow, you are here. Wow, wow, Alice is here too!
mavji	ze'u ku le mavji gau ralju cidja le xirma	Oats have long been the main food for horses.
maxri	le nanba cu se zbasu fi le maxri	Bread is made of wheat.
me	.i ti me le titla vanju	This is an example of sweet wine.
me	.i ti me le dinju poi jai tasmi le laldo nu enge	This is an example of old architecture among buildings.
me	xu do me le ctuca	Are you one of the teachers?
me'ai	ua do mo'u klama doi la alis i ua me'ai ro drata ti zvati ji'a	Wow, you arrived, Alice! Oh well, the others are here too.
me'i	me'i mu prenu ca zutse bu'u le mi'u kumfa	There are less than five people sitting in the room now.
me'o	ko jikca la'e me'o so pa pa	Dial 911!
me'o	me'o pa re ci	123 (as a text).
mebri	le mi'u fetsi pu se mebri le kalri	She had a forehead open.
megdo	mi ponse le megdo be le ka rupnu be li ci vau bei le ka stuzi	I own three million dollars in real estate.
megdo	e'o pilno lo pixra poi megdo le ka baitni li su'e 1 vau le ka se datni	Please choose an image that does not exceed 1 Megabyte.
mei	mi'o re mei	You and I are two.
mei	pa mei le nabmi	It is one of the problems.
mei	le mi'u vo mei pu klama le mi'u kumfa	The four entered the room.
mekso	lu li vo du li re su'i re li'u mekso la lojban	{li vo du li resu'i re} is a mathematical expression in Lojban.
mekso	zoi cy.(x+15&~15).cy. mekso le bangu poi du la c	"(x+15&~15)" is a mathematical expression in C language.
melbi	le mi'u ninmu cu melbi mi le ka se catlu	For me the woman is beautiful to look at.
menli	le menli be le smani cu simsa le menli be le remna	The mind of monkeys is similar to the one of humans.
mensi	do mensi mi le ka se patfu	You are my brother since we are born from the same father.
mentu	le nu penmi cu mentu be li ji'i xa no	The meeting is approximately 60 minutes long.
merko	mi'a pu rinsa le mi'u pa merko	We greeted the American.
merli	mi merli le jubme li pa le ka mitre vau li pi pa	I measured the length of the table as 1 meter with accuracy 0.1 meters.
mi	mi gleki	I'm happy.
mi'a	mi'a pu casnu do	We were discussing you.
mi'ai	mi'ai se rai troci	We try our best.
mi'ai	mi'ai djuno le krinu	We know the reason.
mi'ai	da mi'ai nabmi	We have a problem.
mi'e	coi mi'e la gleki	Hello, I'm La Gleki.
mi'e	lu coi la kevin li'u lu mi'e nai la kevin li'u	"Hello, Kevin!" "I'm not Kevin."
mi'i	le za'u xrula cu zvati le cmana mi'i le ki'otre be li ci	The flowers are present on the mountain and three kilometers around of it.
mi'o	mi'o ba renvi	You and I will survive.
mi'u	mi pu zukte ra mi'u	I did the same thing.
mi'u	mi pu lebna pa cukta gi'e dunda pa cukta mi'u nai la alis	I took a book and gave another one to Alice.
midju	ra pu sanli bu'u le midju be le mi'u dargu	He was standing in the middle of the road.
mifra	zoi .mifr.cni rni dn.mifr. mifra lu coi ro do li'u le ka me'o o bu pe ce'u se basti me'o ny pe ce'u	cni rni dn is an encoded Lojban phrase {coi ro do} where {n} is a replacement for {o}.
mifra	zo coi mifra le nu rinsa vau le bangu	{coi} is a greeting encoded in language.
mikce	le mi'u mikce pu minde mi le ka sipna	The doctor ordered me to sleep.
mikce	le mamta be mi pu mikce mi tu'a le bekpi be mi ta'i le nu punji le jduli	My mother treated my ill back by applying an ointment.
mikri	le jurme cu mikri le ka mitre li re vau le ka ganra	The microbe is 2 micrometers wide.
milti	le jubme cu milti le ka mitre li bi no no vau le ka ganra	The table is 800 millimeters wide.
milxe	lei djacu cu milxe le ka glare	The water is warm (not hot).
milxe	mi milxe le ka tatpi	I'm tired to a moderate degree.
minde	le mi'u turni pu minde mi le ka klama ca le drani	The manager ordered me to come on time.
minji	ti minji le ka cpacu loi djacu	This is an automated apparatus for getting water.
minli	le dargu cu minli li re	The road is two kilometers long.
minra	le djacu pu minra le gusni be fi la sol la alis le marvele barna	Water reflected the sunlight that Alice could see as marvelous spots.
minra	le mi'u bitmu so'i roi minra le sance	The wall echoes the sound several times.
mintu	tu noi nanmu gi'e dasni le pelxu cu mintu le patfu be do	That man wearing yellow is your father.
mipri	mi pu mipri le mi'u torta le mi'u verba	I hid the pie from the child.
mirli	co'a le ka jbena vau le mirli cu kakne le ka sanli	A baby deer can stand as soon as it is born.
misno	la su'o da cu jai misno le pilno be la lojban	Someone (having such a name) is famous among Lojban speakers.
misno	le lisri be le nu pa le ralju dinju cu se darxi so'o vlipa dacti pu traji le ka misno le xabju be le bu'u gugde	The story of one of the main buildings being hit by some powerful objects was one of the most famous events for people of this country.
misno	la kevin co'a jai misno fai le nu ri finti le cfika	Kevin became famous as an author of fiction.
misno	la kevin pu zenba le ka jai misno fai le nu ri finti le cfika	Kevin rose to fame by writing fiction.
mitre	ti voi tanxe cu mitre li pa le ka clani	This box is one meter in length.
mitysisku	mi mitysisku le sunla skaci le nenri be le vi kumfa	I'm looking for a woolen skirt among things in this room.
mixre	le vacri cu mixre so'o gapci	Air is a mixture of several gases.
mlana	le mi'u tanxe cu mlana le mi'u bitmu	The box is to the side of the wall.
mlatu	le ka kucli cu catra le mlatu	Curiosity killed the cat.
mlatu	mi ralte pa mlatu e pa gerku	I keep a cat and a dog.
mleca	pe'i le tcati cu mleca le ckafi le ka kukte vau so'i da	I think tea is much less tasty than coffee.
mledi	le mledi pu sinxa le nu le mi'u kumfa cu cilmo	Mold was a sign that the room was damp.
mligla	le vacri co'a mligla	The air became warm.
mluni	so'i da rutni mluni le mi'u terdi	There are many satellites orbiting the Earth.
mo	do mo	How are you?
mo	la .lojban. cu mo	What is Lojban?
mo'a	mo'a snuji cu cpana le mi'u jubme	There are too few sandwiches on the table.
mo'e	li mo'e re gerku su'i mo'e ci mlatu cu du li mo'e mu danlu	Two dogs + three cats are five animals.
mo'i	do mo'i ca'u cadzu	You walk towards my front.
mo'i	ko catke mo'i zu'a	Push it to the left.
mo'o	pa mo'o pu zu ku zasti fa pa nanmu e pa ninmu	Chapter 1. Long ago lived a man and a woman.
mo'u	xu do mo'u jukpa	Are you done with cooking?
mo'u	mi mo'u citka ro plise	I've eaten up all apples.
mo'u	mo'u nai ku mi pu zbasu le dinju ze'a le masti	I built houses for a month.
mo'u	mi mo'u klama le xotli le ralju klaji	I arrived at the hotel via the main street.
mo'u	mi kakne le ka mo'u klama le cmana	I can reach the mountain.
mo'u	le nu mi mo'u klama pu spaji le za'u da	My arrival surprised them.
moi	le vi cukta cu me mi moi	This book is mine.
moi	mi ci moi le pendo le ka ce'u ce'u cinba	I kiss all but two of my friends.
moi	le cmaci cu ro moi le'i saske le ka ce'u ce'u zmadu fi le ka mi se la'u li xo kau djica le nu mi tadni ce'u	Math is the last subject that I want to study.
moi	le'e vlaste cu pa moi le'i cukta le ka mi ta'e tcidu fi ce'u e ba bo ce'u	Dictionaries are often the first among books I look into.
mokca	le nu jamna cu mokca po'o le remna citri	The war is just a point in human history.
mokca	le mi'u terdi cu mokca po'o le mi'u munje	The Earth is just a point in the Universe.
moklu	e'e kalri fa le moklu be do	Open your mouth.
molki	ti molki le ka zalvi le gurni	This is a mill grinding grain.
molro	lo ka tabno gi'e grake li pa re cu ka molro li pa	12 grams of carbon is one mole in amount.
monsuta	le mi'u monsuta pu cisma tai le ka kusru	The monster smiled in a cruel way (the monster's smile was cruel).
morji	mi morji fi le bu'u tcadu fe le du'u pu za le nanca be li pa no no cu ralju tcadu le bu'u gugde	I remember about this city that 100 years ago it was the main city of this country.
morji	mi co'u morji le du'u sarcu fa le nu mi cusku ma kau	I forgot what to say.
morna	mi nelci le morna be le pezli bei le du'u le gunma be ri cu cirkulo	I like patterns of leaves that form circles.
morsi	xo da pu co'a morsi	How many died?
mosra	le mi'u mlatu pu ru'i se mosra le kerfa be mi le milxe	The cat was mildly rubbing against my head.
mosra	ai mi jai gau mosra fi le mi'u jubme fe le bukpu	I'm going to wipe the table with a cloth.
mraji	ra crepu le mraji	He is harvesting rye.
mrilu	mi pu mrilu pa se dunda pa pendo pa diklo tcana pa sivni	I mailed a present to a friend from a local post office via a private mail system.
mrilu	mi pu mrilu pa notci fu le kibro	I sent a message via the internet.
mruli	mi ne se pi'o pa mruli pu setca pa dinko le mi'u bitmu	Using a hammer I hammered a nail into the wall.
mruli	ti zmiku mruli le ka setca le dinko se pi'o ce'u vau le barda le matra	This is an automatic hammer for nailing with a large head propelled by a motor.
mu	mu bakni pu zvati le mi'u purdi	There were 5 cows in the garden.
mu'a	mi nelci le danlu noi mu'a du le gerku e le mlatu	I like animals like, for example, dogs and cats.
mu'i	mi pu penmi la alis mu'i le ka ciksi ro da	I met Alice in order to explain everything.
mu'o	ro mai mi jinvi le du'u za'u cukta cu jai sarcu mu'o	Finally, I think that more books are necessary, I'm done.
mu'o	ja'o dai le mi'u za'u sonci pu cliva le mi'u tcadu mu'o nai lei mi tadni	As you may conclude, the soldiers left the city ... no, that's not the end of the story, my students.
mu'oi	la alis cu mu'oi gy.prima donna.gy.	Alice is a prima donna.
mucti	le cmaci cu saske le mucti	Mathematics studies immaterial things.
mudri	ti mudri le laldo	This is wood from old trees.
mudydei	xu mi'o ba penmi zu'ai ca le mudydei	Shall we meet each other on Thursday?
mukti	le ka vasxu le vifne cu mukti fi mi fe le ka klama se ka'a le purdi	To breathe fresh air is my motive to go to a garden.
mukti	ro nu finti cu se mukti su'o nu nitcu	Necessity is the motive for every invention.
mukti	mi te mukti le ka vitke la paris	I am going to visit Paris.
mulno	mi mulno le ka na kakne le ka tavla fo le fraso	I can't speak French at all.
mulno	do mulno le ka jai fenki	You are completely crazy.
munje	la .alis. cu se zdani le munje be le se xanri be le nei	Alice lives in the world of her fantasies.
mupli	le danlu pendo pe mi cu mupli le ka ca da co'a morsi vau lo'i mabru	My pet is an example that at one point all mammals die.
mupli	le bisli noi ca'o runme cu mupli lo ka cenba kei lo'i marji	The melting piece of ice is an illustration that instances of matter change
mupli	ti mupli lo ka narji kei lo'i mlatu	Here is an example of a cat that is orange.
murta	le dilnu cu murta le tsani	Clouds are curtains of the sky.
muslo	le mi'u za'u mei pu casnu le flalu be fi le muslo	They discussed Muslim law.
mutce	.i ti mutce le ka kargu	This is very expensive.
mutce	.i mi mutce le ka senpi	I highly doubt that.
muvdu	le mi'u prenu cu muvdu le bartu le mi'u dinju le mi'u canko	The person is moving to the outside from the building via the window.
muvdu	la alis ba jai gau muvdu fai le mi'u tanxe pa drata kumfa	Alice will move the box to another room.
muzga	ai mi vitke le muzga be le danlu	I'm going to visit the Zoo.
muzga	ma stuzi le mi'u muzga be le arte	Where is the museum of art?
na	na ku le speni be mi cu citno	It's not true that my wife is young.
na	la kevin pu ku prami na je cinba mi	Kevin didn't love but kissed me.
na'e	na'e vajni mi	It's not important to me.
na'e	do ba na'e snada	You won't make it (won't succeed).
na'e	na'e bo mi pu zukte	Not I did it.
na'i	lu fe pa ractu ca ma fa do pu te vecnu li'u lu le mi'u ractu na'i li'u	"A rabbit, when did you buy it?" "I didn't buy a rabbit."
na'i	lu i do jinvi ma le pelmeni li'u lu na'i i mi na se slabu zo pelmeni li'u	"What do you think of pelmeni?" "Nothing, I don't know this word."
na'o	do na'o to'e se zdile	You are a boring person.
nabmi	le ka ze'a denpa na nabmi mi	To wait for a while is not a problem for me.
nai	ui i ui nai	Yay! Alas!
nai	si'u i si'u nai	With help. Without help.
nai	mi zgipli le pipno gi'e nai certu	I play the piano but I'm not an expert.
najnimre	e'o jisra le najnimre	Orange juice, please!
nakni	ti nakni le mlatu le ka se nakpinji	This is a male cat since it has a penis.
nakpinji	le nakpinji be le mi'u bakni co'i muvdu le nenri be le mi'u vibna	The bull's penis has entered the vagina.
nalci	le nalci be le mi'u cipni cu spofu	The bird has its wing broken.
namcu	li bi namcu	8 is a number.
nanba	e'o le blabi nanba e le matne	White bread and butter, please!
nanba	mi pu smaka le mi'u nanba	I tasted the bread.
nanca	mi nanca li re mu	I am 25 years old.
nanca	mi se zdani ti ze'a le nanca be li vo	I have been living here for 4 years.
nandu	nandu mi fa le ka cadzu ti voi cicfoi	It's hard for me to wade through this forest.
nanla	tu noi nanla cu mo	Who is that boy?
nanmu	o'i le mi'u nanmu cu jgari pa xarci	Careful, the man is holding a gun!
nanvi	mi ganse le boxna be fo le nanvi be le ka mitre li ji'i xa mu no bei le ka clani	I sense the wave of approximately 650 nanometers in length.
narge	ti narge pa kokso le rotsu pa kukte	This is a coconut with a thick shell and a tasty kernel.
narju	le mi'u solri cu narju	The sun is orange.
natfe	le du'u la edvard pu zvati la nipon cu natfe le se sruma be mi	The fact that Eduard was in Japan contradicts my assumption.
natmi	le se natmi be ma cu se zdani le vi se kuspe	People of what nationality live in this area?
natmi	do se natmi ma	What is your nationality?
natmi	.i mi se natmi	I belong to an ethnic group.
nau	mi pu djuno le du'u la alis nau pu pu mo'u klama	I knew that Alice had arrived (before I knew).
nau	mi pu djuno le du'u la alis pu mo'u klama	I knew that Alice had arrived (before I knew).
navni	la argon cu navni	Argon is an inert gas.
naxle	da jdika naxle pa lalxe pa rirxe le foldi be le se xrula	There is a narrow channel to a pool from a river, it goes through flower fields.
nazbi	le nazbi be do cu lenku	Your have a cold nose.
ne	mi pu cusku no da pe le mi'u nabmi	I said nothing about the problem.
ne	mi ne se mau do cu clani	I'm taller than you.
ne'a	ko klama ne'a mi	Come along with me.
ne'i	le vacri ca lenku ne'i le zdani be mi	The air is cold inside my house.
ne'i	xu do kakne le ka viska ne'i le manku	Can you see in the dark?
nei	mi ca'o lumci le nei	I'm washing myself.
nei	do zbasu no da le se nei	You are making nothing out of nothing.
nejni	ba barda fa le nejni be le ka muvdu bei ti noi rokci	It will consume a lot of energy to move this rock.
nelci	mi nelci ro nu do cusku le simsa	I like whenever you say such things.
nelci	mi nelci lo'e ckafi ne se mau	I prefer coffee.
nenri	rau finpe cu nenri le vi rirxe	There are plenty of fish in this river.
nenri	le mi'u ctuca pu klama le nenri	The teacher came in.
nenri	mi pu punji fi le nenri be le minji be le nu lenku	I put it into the fridge.
ni	mi zenba le ni sutra	My rapidity increases.
ni'a	gau ko stodi ni'a lei papri	Keep it under papers.
ni'i	do srera fau le nu do pilno le datni pe mi i ni'i bo u'u mi pu te mu'i nai smusku su'o jitfa	You are wrong when using my data just because (sorry!) I unintentionally said a false thing.
ni'o	mi ze'u na tavla do ni'o ei mi ca cliva	I haven't talked to you in a long time. Well, now I should leave.
ni'u	li ni'u ci du li re vu'u mu	'-3 = 2 - 5'.
nibli	da zo'u le ka djica da cu nibli le ka claxu da	Wanting something implies lacking it.
nibli	le ka frili na nibli le ka xamgu	Being easy doesn't imply that it is good.
nicte	a'o pluka nicte	Good night! (a well-wish)
nicte	mi ba zvati le boske ca le nicte be le cabdei bei vo'e	Tonight I will be in the forest.
nikle	le nikle cu me le jinme poi jdari gi'e se romge	Nickel is a hard metal with reflective surface.
nilce	le za'u vi te gusni cu nilce le mi'u kumfa le du'u ri jai zdile	These light sources furnishes the room making it amusing.
nimre	ti noi nimre cu kukte gi'i kurki	Is this citrus sweet or bitter?
ninmu	pa melbi ninmu poi se kerfa le pelxu pu cadzu bu'u le mi'u panka	A pretty woman with yellow hair was walking in the park.
nirna	le nirna be pa degji be mi cu spofu	Nerves in my finger don't work.
nitcu	mi nitcu le nu mi di'a zvati le zdani vau le nu mi cpacu lei ckiku	I need to return home to get the keys.
nitcu	mi nitcu le nu da tavla mi	I need someone to talk to me.
nivji	le mi'u nixli cu nivji pa creka le lanme sunla	The girl is knitting a sweater from fleece.
nixli	le mi'u nixli cu cisma fa'a mi	The girl smiled at me.
no	no bramlatu ca zvati le cicfoi	There are no big cats in the forest.
no'a	xu la alis cu zukte le se nupre be le no'a	Does Alice keep her words?
no'a	mi gleki le nu no'a	I'm happy because I'm happy.
no'e	le mi'u creka cu no'e cmalu	The shirt is medium in size.
no'e	mi no'e certu tu'a la lojban	I'm fine in Lojban, neither a newbie, nor an expert.
no'e	le vacri ca no'e glare	It's neither cold, nor hot now, it's in between.
no'i	do zenba le ka certu tu'a la lojban no'i mi jinvi le du'u le jufra pe do na mulno drani	You are becoming more and more proficient in Lojban. Back to the previous topic, I think your sentence wasn't fully correct.
no'o	mi se degji no'o da	I have a usual number of fingers.
nobli	le mi'u nixli cu nobli le ka tarti	The girl is aristocratic in her behavior.
nobli	mi nobli le ka jbena ma kau	I am noble by birth.
noi	mi nelci le pa ninmu noi mi ta'e zgana bu'u le panka	I like a woman, whom I habitually see in the park.
noi	mi nelci pa ninmu	I like a woman.
noi	mi tavla do noi mi prami ke'a	I'm talking to you whom I love.
nolraitru	xu do nolraitru le mi'u munje	Are you the king of the world?
notci	mi pu zukte le ka da notci le cipra gi'e se jufra lu mi'a nu'o djuno li'u	I made a statement about the experiment: "We don't know yet."
notci	le turni ba skicu pa notci be le cnino jikni	The governor will announce a new economic system.
nu	.i la .alis. cu nitcu le nu su'o da bevri le birje le nei	Alice needs to be given beer.
nu	mi gleki le nu do klama	I am happy that you came.
nu	le nu prami cu nu gunka	Loving is working.
nu'e	mi ba no roi zukte le simsa za'u re'u vau nu'e do	I will never do that again, I promise you.
nu'e	nu'e cu'i do mi ba troci	I'll try, but I don't promise anything.
nu'e	nu'e nai do i se la'u li du'e tilju	I take my promise back, it's too heavy.
nu'o	mi nu'o zvati tu noi panka	I have never been to the park over there.
nu'o	mi nu'o snada	I haven't succeeded yet.
nu'o	.i mi pu pu'o je nu'o pencu	I almost touched it.
nubu	mi djica le nu do kansa mi i xu nu bu cumki	I want you to accompany me. Is this possible?
nudle	mi pu citka le stasu poi vasru le nudle	I ate a soup with noodles.
nudle	mi pu citka le nudle ca le cabdei pa re'u	Today was the first time I ate noodles.
nukni	le mi'u pa xrula cu nukni	The flower has a magenta color.
nupre	mi pu nupre fi la alis le ka sidju ri va'o le nu ri smaji	I made Alice a promise to help her on condition that she keeps silence.
nurma	le mi'u nurma cu jai pluka	The countryside is pleasant.
nutli	la lojban cu nutli le ka ma kau mapti ce'u le ka traji fi le kulnu	Lojban is neutral in terms of what culture matches it best.
nuzba	ma nuzba	What's up? What are the news?
nuzba	no da nuzba fi mi fo do	No news from me for you.
