tcexo	rusko
„Teď zase já,“ žadoní druhý člen rodiny.	Теперь я, - канючит другой член семьи.
„Ještě kousek,“ trvá na svém právu zahradník, a znovu se rozjede rachotě a kose trávu, až to lítá. To je první, slavnostní senoseč.	Еще немножко, - настаивает на своем праве садовник и снова едет с грохотом и косит траву, так что все летит. Это первая, праздничная сенокосная страда.
„Poslouchej,“ povídá po čase zahradník druhému členu rodiny, „nechtěl bys vzít strojek a posekat trávu? To je moc příjemná práce.“	Слушай, - говорит спустя некоторое время садовник другому члену семьи, - не хочешь ли взять косилку и покосить траву? Это очень приятная работа.
	
„Já vím,“ praví ten druhý vlažně, „ale já dnes jaksi nemám kdy.“	Да знаю, - отвечает тот вяло, - только у меня сегодня как-то нет времени.
Senoseč, jak známo, je doba bouřek. Několik dní se to podebírá na nebi i na zemi; slunce je palčivé a jaksi protivné, země se puká a psi páchnou; hospodář se dívá starostlivě k nebi a říká, že by mělo zapršet. Načež se objeví takzvané zlověstné mraky a strhne se divoký vítr ženoucí s sebou prach, klobouky a urvané listí; tu vyrazí zahradník na zahrádku s vlasy vlajícími, nikoliv aby vzdoroval živlům jako romantický básník, nýbrž aby přivazoval vše, co se klátí od větru, odnesl své nářadí a židličky a vůbec čelil živelným pohromám. Zatímco se marně pokouší přivázat stvoly delfinií, padají první velké a horké kápěje, udělá se chvíle k zalknutí, a prásk! za rachotu hromu vyšplíchne těžký liják. Zahradník se uteče na zápraží a s těžkým srdcem přihlíží, jak se zahrádka zmítá pod údery deště a vichřice; a když je to v nejhorším, vyřítí se jako muž, který zachraňuje tonoucí dítě, aby přivázal nalomenou lilii. Prokristapána, to je vody! Do toho zachrastí kroupy, poskakují po zemi a jsou smeteny potoky špinavých vod; a v srdci zahradníka zápasí úzkost o kytičky s takovým jakýmsi nadšením, jež v nás budí velké živelní úkazy. Potom to rachotí temněji, příval se změní ve studený déšť a řídne v přepršku. Zahradník vybíhá do ochlazené zahrádky, zoufale kouká na trávník zanesený pískem, na polámané kosatce a potrhané záhonky, a zatímco zakřičí první kos, volá přes plot na souseda: „Haló, mělo by nám ještě zapršet; na stromy je toho málo.“	Сенокос, как известно, - время гроз. Несколько дней все это подспудно назревает на небе и на земле; солнце жгучее и какое-то противное, земля трескается, а псы воняют; хозяин озабоченно смотрит в небо и говорит, что хорошо бы дождя. После чего появляются так называемые зловещие тучи и налетает дикий ветер, который гонит перед собой пыль, шляпы и сорванные листья; тут садовник выбегает в сад с развевающимися волосами не для того, чтобы противостоять стихиям, как романтический поэт, а чтобы подвязать все, что мотает ветром, убрать инструменты и стулья и вообще противостоять стихийным бедствиям. Пока он тщетно пытается подвязать стебли дельфиниумов, падают первые большие и теплые капли, наступает миг, когда трудно дышать, и бах! - с грохотом грома рушится тяжелый ливень. Садовник прячется на крыльце и с тяжелым сердцем смотрит, как садик мечется под ударами дождя и ветра; а когда становится совсем худо, выскакивает, как человек, спасающий тонущего ребенка, чтобы подвязать надломленную лилию. Господи помилуй, сколько воды! Тут еще застучит град, скачет по земле и уносится потоками грязной воды; и в сердце садовника борется тревога за цветочки с каким-то восторгом, который возбуждают в нас большие природные явления. Потом грохот темнеет, ливень переходит в холодный дождь и редеет в морось. Садовник выбегает в остывший садик, в отчаянии смотрит на газон, занесенный песком, на поломанные ирисы и разоренные клумбы и, пока первый дрозд уже кричит, зовет через забор соседа: "Эй, хорошо бы нам еще дождичка; для деревьев этого маловато".
Den nato píší noviny o katastrofální průtrži mračen, jež způsobila strašné pohromy zvláště na osení; ale nenapíší, že způsobila těžké škody zvláště na liliích nebo že zpustošila zejména Papaver orientale. My zahradníci jsme vždycky odstrčeni.	На следующий день газеты пишут о катастрофическом ливне, вызвавшем страшные бедствия, особенно на посевах; но не пишут, что он причинил тяжелый ущерб прежде всего лилиям или разорил в особенности Papaver orientale. Нас, садовников, всегда оттирают в сторону.
	
Kdyby to bylo něco platno, padl by zahradník denně na kolena a modlil by se asi takto: „Panebože, udělej to nějak tak, aby každý den pršelo asi tak od půlnoci do tří ráno, ale víš, tak pomalu a teple, aby to mohlo vsáknout; ale aby přitom nepršelo na smolničku, tařici, devaterník, levanduli a ty ostatní, které jsou Ti v Tvé nekonečné moudrosti známy jako byliny suchomilné, – kdybys chtěl, napíši Ti je na list papíru; a slunce aby svítilo po celý den, ale ne všude (například ne na tavolníky, aniž na hořec, bohyšku a rododendron) a ne tuze moc; aby bylo hodně rosy a málo větru, dost žížal, žádné mšice a slimáci, žádné padlí, a aby jednou za týden pršela zředěná močůvka a holubí trus, amen.“ Neboť vězte, že tak tomu bylo v zahradě ráje; jinak by to tam tak nerostlo, co vás nemá.	Если бы это хоть что-нибудь давало, садовник каждый день вставал бы на колени и молился примерно так: "Господи, устрой как-нибудь так, чтобы каждый день дождь шел примерно с полуночи до трех утра, только, понимаешь, медленно и тепло, чтобы он мог впитаться; но только чтобы при этом он не шел на смолку, обриету, солнцецвет, лаванду и на все те прочие растения, которые Тебе в Твоей бесконечной мудрости известны как сухолюбивые, - если хочешь, я напишу Тебе их на бумажке; а солнце пусть светит весь день, но не везде (например, не на спиреи, и не на горечавку, хосту и рододендрон) и не слишком сильно; чтобы было много росы и мало ветра, достаточно дождевых червей, никакой тли и слизней, никакой мучнистой росы, и чтобы раз в неделю шел разбавленный навозный настой и голубиный помет, аминь". Ибо знайте: именно так было в райском саду; иначе там бы ничего так не росло, еще чего.
	
Ale když už jsem řekl slovo „mšice“, měl bych dodat, že zrovna v červnu se mají mšice hubit. Jsou na to všelijaké prášky, preparáty, tinktury, extrakty, odvary a smrady, arzen, tabák, šmír a jiné jedy, které zahradník jeden po druhém zkouší, jakmile shledá, že se mu na růžičkách povážlivě rozmnožují zelené, kypře nacucané mšice. Užíváte-li těchto prostředků s jistou opatrností a v náležité míře, shledáte, že vaše růže někdy přežijí toto hubení mšic bez úrazu, až na to, že se tím jaksi spálí list i poupata; co se týče mšic, prospívají během tohoto hubení neobyčejnou měrou, takže pokryjí větvičky růží jako husté krumplování. Potom je lze – s hlasitými projevy ošklivosti – větévku po větévce rozmačkávat. Tímto způsobem tedy se hubí mšice; ale zahradník čpí ještě dlouho potom tabákovým výtažkem a šmírem.	Но раз уж я произнес слово "тля", должен добавить, что именно в июне тлю и следует истреблять. Для этого существуют всевозможные порошки, препараты, настойки, экстракты, отвары и вони, мышьяк, табак, смазка и прочие яды, которые садовник один за другим испытывает, как только замечает, что на его розочках угрожающе размножается зеленая, жирно насосавшаяся тля. Если пользоваться этими средствами с известной осторожностью и в надлежащей мере, вы обнаружите, что ваши розы иногда переживают это уничтожение тли без особого вреда, разве что у них слегка обгорают листья и бутоны; что же касается тли, то во время этого истребления она необычайно процветает, так что облепляет веточки роз густым кружевом. После чего ее можно - громко выражая омерзение - давить веточка за веточкой. Вот так и уничтожают тлю; но садовник еще долго потом пахнет табачной вытяжкой и смазкой.
	
## O zelinářích ##	## Об огородниках ##
	
Jsou zajisté lidé, kteří čtouce tyto poučné úvahy rozhořčeně řeknou: Jakže, o každém chřástu nejedlém tu ten chlap mluví, ale ani slovem se nezmiňuje o mrkvi, okurce, kedlubně ani kapustě, květáku a cibuli, póru a ředkvičce, ba ani o celeru, pažitce a petrželi, neřkuli o pěkné zelné hlávce! Jakýpak je tohle zahradník, když dílem z pýchy, dílem z neznalosti pomíjí to nejkrásnější, co lze vypěstit, jako je například tento záhon salátu?	Есть, без сомнения, люди, которые, читая эти поучительные рассуждения, возмущенно скажут: как же так, о каждой несъедобной былинке этот человек рассуждает, а о моркови, огурце, кольраби и капусте, цветной капусте и луке, порее и редиске, даже о сельдерее, шнитт-луке и петрушке не упоминает ни словом, не говоря уж о хорошей кочанной капусте! Какой же это садовник, если он то ли из гордости, то ли по невежеству обходит молчанием самое прекрасное из того, что только можно вырастить, например вот эту грядку салата?
Na tuto výtku odpovídám, že v jednom z přemnohých odstavců svého života jsem také vládl nad několika záhony mrkve a kapusty a salátu a kedlubny; činil jsem to zajisté z jakéhosi romantismu, chtěje si dopřát iluzi farmáře. V příslušné době se ukázalo, že musím denně schroustat sto dvacet ředkviček, protože je nikdo jiný v domě už nechtěl jíst; následujícího týdne jsem tonul v kapustě, načež přišly orgie v kedlubně, dokonce dřevnaté. Byly týdny, kdy jsem byl třikrát denně nucen žvýkat salát, aby se nemusel vyhodit. Nehodlám nijak kazit radost zelinářům; ale co si nadrobili, ať si snědí. Kdybych byl nucen požírat své růže nebo okusovat květy konvalinek, myslím, že bych k nim ztratil tu jistou úctu. Kozel se sice může stát zahradníkem, ale zahradník se těžko stane kozlem, aby schroustal svou zahrádku.	На этот упрек я отвечаю, что в одном из бесчисленных периодов своей жизни я тоже владел несколькими грядками моркови, капусты, салата и кольраби; делал я это, без сомнения, из некоторого романтизма, желая подарить себе иллюзию фермера. В положенный срок выяснилось, что я должен ежедневно сгрызать сто двадцать редисок, потому что никто в доме больше уже не хотел их есть; на следующей неделе я тонул в капусте, а потом начались оргии с кольраби, да еще и одеревеневшей. Бывали недели, когда мне трижды в день приходилось жевать салат, лишь бы его не выбрасывать. Я вовсе не хочу портить радость огородникам; но что накрошили, то пусть и съедят. Если бы мне пришлось пожирать свои розы или объедать цветы ландыша, думаю, я утратил бы к ним известное уважение. Козел еще может стать садовником, но садовнику трудно стать козлом, чтобы сожрать свой сад.
Krom toho my zahradníci máme už tak dost nepřátel: vrabce a kosy, děti, šneky, škvory a mšice; táži se, máme si ještě začínat nepřátelství s housenkami? Máme si proti sobě poštvat bělásky?	Кроме того, у нас, садовников, и без того довольно врагов: воробьи и дрозды, дети, улитки, уховертки и тля; спрашиваю я вас, нужно ли нам еще начинать вражду с гусеницами? Неужели мы должны натравливать на себя капустниц?
Každý občan někdy sní o tom, co by udělal, kdyby byl jeden den diktátorem. Pokud mne se týče, nařídil, založil a potlačil bych za ten den spoustu věcí; mimo jiné bych vydal takzvaný Edikt Malinový. Byl by to rozkaz, že žádný zahradník pod trestem utětí pravé ruky nesmí sázet u plotu maliny. Prosím vás, jak k tomu soused přijde, aby mu uprostřed rododendronů vyrážely nezničitelné šlahouny malin ze sousedovy zahrádky? Taková malina si leze pod zemí na metry daleko; žádný plot, ani zeď, ani zákop, ba ani ostnatý drát nebo výstražná tabulka ji nezastaví; pak vám vyžene prut uprostřed vašich karafiátů nebo pupalek, a mluvte s ní! Kéž vám každá malinová plodnice zhořkne mšicí! Kéž vám vyrazí výhony malinčí uprostřed vaší postele! Kéž vám narostou bradavice zvící zralých malin! Avšak jste-li zahradníci ctnostní a řádoví, nezasadíte u svých plotů malin, ani rdesna, ani slunokvětu, aniž jiných rostlin, které, abych tak řekl, šlapou po soukromém vlastnictví vašeho souseda.	Каждому гражданину иной раз снится, что бы он сделал, будь он хоть на день диктатором. Что до меня, то я бы за этот день много чего приказал, основал и запретил; среди прочего я издал бы так называемый Малиновый эдикт. Это был бы приказ, чтобы никакой садовник под страхом отсечения правой руки не смел сажать у забора малину. Скажите, пожалуйста, с какой стати сосед должен терпеть, чтобы у него посреди рододендронов вылезали неистребимые побеги малины из соседского садика? Такая малина ползет под землей на метры; ни забор, ни стена, ни ров, ни колючая проволока, ни даже табличка с предупреждением ее не остановят; а потом она выпустит прут прямо посреди ваших гвоздик или энотер, и попробуйте с ней поговорить! Пусть каждая ваша малиновая ягода горчит тлей! Пусть вам побеги малины полезут прямо посреди кровати! Пусть у вас вырастут бородавки величиной со спелую малину! Но если вы порядочные и добродетельные садовники, вы не станете сажать у своих заборов ни малину, ни горец, ни топинамбур, ни иных растений, которые, если так можно выразиться, попирают частную собственность вашего соседа.
Když už chcete svého souseda potěšit, vysaďte si u svého plotu melouny. Mně se stalo, že ze sousedovy zahrádky vyrostl na mé straně plotu meloun tak obrovský, tak kanaánský, tak rekordní, že vzbudil úžas celé řady publicistů, básníků, ba i univerzitních profesorů, kteří nemohli pochopit, jak se plod tak gigantický mohl protlačit mezi tyčkami plotu. Po nějaké době počal dotyčný meloun vypadat poněkud necudně; i uřízli jsme jej a za trest snědli.	Если уж вам хочется порадовать соседа, посадите у своего забора дыни. Со мной случилось так, что с соседнего участка на моей стороне забора выросла дыня столь громадная, столь ханаанская, столь рекордная, что она вызвала изумление у целого ряда публицистов, поэтов и даже университетских профессоров, которые никак не могли понять, как плод столь гигантский сумел протиснуться между штакетинами забора. Через некоторое время эта дыня стала выглядеть несколько непристойно; тогда мы ее срезали и в наказание съели.
	
## Zahradníkův červenec ##	## Июль садовника ##
	
Podle kanonického práva zahradníků se v červenci očkují růže. Dělá se to obyčejně takto: připraví se šípek, pláně neboli podložka, na kterou se má očkovat; dále veliké množství lýka a posléze zahradnický nůž neboli žabka. Když je vše pohotově, vyzkouší zahradník ostří žabky na bříšku palce; je-li žabka dostatečně ostrá, zařízne do palce a nechá v něm rozchlípenou a krvácející tlamičku. Ta se potom ováže několika metry fáče, z čehož vznikne na prstě dosti velké a plné poupě. To se jmenuje očkování růží. Není-li po ruce šípek, lze si výše popsaný zářez do palce přivodit při jiné příležitosti, jako je dělání odprutců, odřezávání vlků nebo odkvetlých stvolů, stříhání keřů a podobně.	По каноническому праву садовников в июле окулируют розы. Делается это обычно так: подготавливают шиповник, дичок, то есть подвой, на который нужно прививать; затем большое количество мочала и, наконец, садовый нож, или "лягушку". Когда все готово, садовник пробует острие "лягушки" на подушечке большого пальца; если нож достаточно остер, он врезается в палец и оставляет на нем зияющий и кровоточащий ротик. Потом это перевязывают несколькими метрами бинта, и на пальце вырастает довольно большая и полная почка. Это и называется окулировкой роз. Если под рукой нет шиповника, можно устроить себе вышеописанный порез при другом случае, например когда делаешь отводки, отрезаешь волчки или отцветшие стебли, подстригаешь кусты и тому подобное.
	
Dokončiv takto očkování růží, shledává zahradník, že by měl zase zkypřit v záhonku slehlou a speklou půdu. To se dělá asi šestkrát ročně, a pokaždé zahradník vyhází z půdy neuvěřitelné množství kamení a jiného neřádu. Patrně se to kamení rodí z nějakých semínek nebo vajíček, nebo vystupuje ustavičně z tajemného nitra země; snad země ty kameny nějak vypocuje. Zahradní čili kulturní půda, zvaná též humus nebo prsť, pozůstává vůbec z určitých ingrediencí, jež jsou: hlína, mrva, zetlelé listí, rašelina, kamení, střepy z půllitrových sklenic, rozbité mísy, hřebíky, dráty, kosti, husitské šípy, staniol z čokolády, cihly, staré mince, staré dýmky, tabulové sklo, zrcátka, staré jmenovky, plechové nádoby, provázky, knoflíky, podešve, psí trus, uhlí, ucha od hrnců, umyvadla, utěrky, lahvičky, pražce, bandasky, přezky, podkovy, plechovky od konzerv, izolátory, kusy novin a nesčetné jiné součásti, které překvapený zahradník vydobývá při každém kypření ze svých záhonků. Snad jednou vyhrabe pod svými tulipány americká kamna, Attilův hrob nebo Sibyliny knihy; v kulturní půdě je možno nalézt všechno.	Закончив таким образом окулировку роз, садовник обнаруживает, что следовало бы снова разрыхлить на клумбе слежавшуюся и спекшуюся почву. Это делают примерно шесть раз в год, и всякий раз садовник выбрасывает из земли невероятное количество камней и прочей дряни. Вероятно, эти камни рождаются из каких-то семян или яиц или непрерывно поднимаются из таинственной утробы земли; может быть, земля как-то выпотевает эти камни. Садовая, то есть культурная, почва, именуемая также перегноем или землею, вообще состоит из определенных ингредиентов, а именно: земли, навоза, перегнивших листьев, торфа, камней, осколков от полулитровых кружек, разбитых мисок, гвоздей, проволоки, костей, гуситских стрел, фольги от шоколада, кирпичей, старых монет, старых трубок, оконного стекла, зеркалец, старых ярлычков, жестянок, веревочек, пуговиц, подошв, собачьего помета, угля, ушек от горшков, умывальников, полотенец, бутылочек, шпал, бидонов, пряжек, подков, консервных банок, изоляторов, кусков газет и бесчисленного множества прочих составных частей, которые изумленный садовник добывает из своих грядок при каждом рыхлении. Кто знает, быть может, однажды он выкопает под своими тюльпанами американскую печку, могилу Аттилы или Сивиллины книги; в культурной почве можно найти все что угодно.
	
Ale hlavní červencová starost je ovšem zalévání a kropení zahrady. Zalévá-li zahradník konvemi, počítá konve tak jako automobilista kilometry. „Uf,“ prohlašuje s pýchou rekordmana, „dnes jsem vytahal pětačtyřicet konví.“ Kdybyste věděli, jaká je to libost, když chladná voda crčí a šumí na zprahlou půdu; když to vpodvečer jiskří na květech a listech přetížených horlivou prškou; když pak celá zahrádka vydechne vlhce a úlevně, tak jako vydechne žíznivý poutník – „Ahahah,“ praví poutník stíraje si pěnu z vousů, „to byla hromská žízeň. Hospodo, ještě jednu!“ A zahradník běží ještě pro jednu konev na tu červencovou žízeň.	Но главная июльская забота - конечно же, полив и орошение сада. Если садовник поливает лейками, он считает лейки так же, как автомобилист считает километры. "Уф, - заявляет он с гордостью рекордсмена, - сегодня я вытащил сорок пять леек". Если бы вы знали, какое это блаженство, когда прохладная вода хлещет и шумит по иссохшей земле; когда вечером она искрится на цветах и листьях, перегруженных усердным дождичком; когда затем весь садик выдыхает влажно и облегченно, как выдыхает жаждущий путник... "Ах-ах-ах, - говорит путник, вытирая пену с усов, - вот это жажда была, черт возьми. Хозяин, еще одну!" И садовник бежит еще за одной лейкой - для этой июльской жажды.
S hydrantem a hadicí lze kropit ovšem rychleji a jaksi ve velkém; za poměrně krátkou dobu postříkáme nejen záhony, ale i pažit, svačící rodinu sousedovu, chodce na ulici, vnitřek domu, všechny členy rodiny a nejvíce sebe samy. Takový střik z hydrantu má úžasnou účinnost, skoro jako strojní puška; můžete jím za okamžik vymlet do země jámu, pokosit pereny a servat stromům koruny. Znamenité osvěžení vám poskytne, stříkáte-li z hadice proti větru; to vám je přímo vodoléčba, jak vás to naskrz pokropí. Hadice má nadto zvláštní zálibu udělat si dírku někde uprostřed, kde se toho nejmíň nadáte; i stojíte pak jako bůh vod uprostřed tryskajících paprsků vody, s dlouhým vodním hadem stočeným u vašich nohou; je to překonávající pohled. Když pak jste mokří až na kůži, prohlásíte uspokojeně, že zahrádka má dost, a jdete se usušit. Zatím vaše zahrádka řekla „Uf“, vsrkla vaše vodomety ani nemrkajíc, a je zase suchá a žíznivá jako předtím.	С гидрантом и шлангом, конечно, можно поливать быстрее и, так сказать, в большом масштабе; за сравнительно короткое время мы окропим не только грядки, но и газон, обедающую соседскую семью, прохожих на улице, внутренность дома, всех членов семьи и больше всего самих себя. Такая струя из гидранта имеет потрясающую силу, почти как пулемет; можно в мгновение ока вымыть ею в земле яму, повалить многолетники и сорвать с деревьев кроны. Великолепное освежение вы получите, если будете брызгать из шланга против ветра; это вам прямо водолечение, как оно пронизывает вас насквозь. Кроме того, шланг обладает особой склонностью проделывать себе дырку где-нибудь посреди, где меньше всего ждешь; и вот вы уже стоите, как бог вод, среди бьющих во все стороны струй, а у ваших ног извивается длинный водяной змей; зрелище поистине превосходное. Когда же вы промокнете до нитки, удовлетворенно объявите, что садику хватит, и отправитесь сушиться. А ваш садик тем временем лишь скажет "уф", всосет все ваши водометы и, не моргнув, снова станет сухим и жадным, как прежде.
	
Německá filozofie tvrdí, že hrubá skutečnost je prostě to, co je, kdežto vyšší a mravní řád je „das Sein-Sollende“ čili to, co má být. Tedy zahradník zejména v červenci velmi uznává tento vyšší řád, věda velmi dobře, co by mělo být. „Mělo by zapršet,“ vyjadřuje to zahradník svým výrazným způsobem.	Немецкая философия утверждает, что грубая действительность - это попросту то, что есть, тогда как высший и нравственный порядок - это "das Sein-Sollende", то есть то, что должно быть. Так вот, садовник, особенно в июле, весьма признает этот высший порядок, ибо очень хорошо знает, что именно должно быть. "Хорошо бы дождя", - выражает это садовник своим многозначительным способом.
To máte obyčejně tak: když takzvané životodárné sluneční paprsky to naberou nad padesát stupňů C; když tráva žloutne, listí na kytkách usychá a haluze stromů zplihle vadnou žízní a žárem, když země se puká, spéká se v kámen nebo rozpadá v palčivý prach, tu zpravidla:	Обычно дело обстоит так: когда так называемые живительные солнечные лучи забирают за пятьдесят градусов по Цельсию; когда трава желтеет, листья на цветах сохнут, а ветви деревьев вяло поникают от жажды и зноя, когда земля трескается, спекается в камень или рассыпается в палящий прах, тогда, как правило:
	
1. praskne zahradníkovi hadice, takže nemůže stříkat,	1. у садовника лопается шланг, так что брызгать он уже не может,
2. stane se něco ve vodárně a neteče vůbec žádná voda, a jste, jak se říká, v troubě; dokonce v rozpálené a žhoucí troubě.	2. случается что-то на водопроводе, и вода не течет вовсе, и, как говорится, вам крышка; притом в раскаленной и пылающей крышке.
V takové době zahradník marně svlažuje půdu svým potem; představte si, jak by se musel potit, aby to stačilo řekněme na menší trávník. Rovněž nepomůže nadávat, klnout, rouhat se a vztekle odplivovat, i když s každým plivnutím běžíme do zahrady (každá kapka vláhy je dobrá!). Tu tedy se zahradník uchyluje k onomu vyššímu řádu a počne fatalisticky říkat: „Mělo by zapršet.“	В такое время садовник тщетно орошает почву своим потом; представьте себе, как он должен потеть, чтобы этого хватило хотя бы на небольшой газон. Не помогает и ругаться, клясть, богохульствовать и яростно плеваться, хотя с каждой плюхой слюны мы бежим в сад (всякая капля влаги хороша!). Тут садовник и обращается к высшему порядку и начинает фаталистически повторять: "Хорошо бы дождя".
„A kam jedete letos na letní byt?“	А куда вы едете этим летом на дачу?
„Copak o to, ale zapršet by mělo.“	Да это ладно, а вот дождя бы надо.
„A co říkáte Englišově demisi?“	А что вы скажете об отставке Энглиша?
„Já říkám, mělo by zapršet.“	Я скажу: надо бы дождя.
Panečku, když si tak člověk představí takový krásný listopadový déšť; čtyři, pět, šest dní šumí chladné dešťové nitě; je šedivo a sychravo, teče do bot, čvachtá to pod nohami a zalízá do kostí –	Боже, если только представить себе такой славный ноябрьский дождь; четыре, пять, шесть дней шумят холодные дождевые нити; серо, сыро, течет в ботинки, чавкает под ногами и пробирает до костей...
Jak říkám, zapršet by mělo.	Как я и говорю, дождя бы надо.
	
Růže a floxy, helenium a coreopsis, denivka, mečík, zvonky a oměj a oman a rojovník a kopretina – bůh zaplať, ještě dost toho kvete na ty špatné poměry. Pořád něco kvete a něco odkvétá; pořád abys odstřihoval odkvetlé stvoly bruče (ke květině, nikoli k sobě): „Taky už je s tebou amen.“	Розы и флоксы, гелениум и кореопсис, лилейник, гладиолус, колокольчики и аконит, девясил, багульник и ромашка - слава богу, еще немало всего цветет при этих дурных обстоятельствах. Все время что-то цветет и что-то отцветает; все время приходится отрезать увядшие стебли, бормоча (цветку, а не самому себе): "Ну вот, с тобой уже аминь".
	
Hleďte, tyhle květiny, ono to je opravdu jako ženské: tak krásné a svěží, oči bys na tom nechal, a nikdy se nedohledíš té krásy, něco ti vždycky ujde, bože, když ona každá krása je taková neúkojná; ale jakmile to začne odkvétat, tu já nevím, tak nějak si přestanou dávat na sobě záležet (já mluvím o květinách), a kdyby chtěl být člověk hrubý, řekl by, že vypadají jako cumploch. Jaká škoda, má líbezná krásko (já mluvím o květinách), jaká škoda, že tak míjí čas; krása přechází a jen zahradník trvá.	Послушайте, эти цветы - да они в самом деле как женщины: такие красивые и свежие, глаз не оторвать, и никогда не насмотришься на эту красоту, все время что-то упускаешь, господи, ведь всякая красота так ненасытна; но стоит им только начать отцветать, я уж не знаю, они как-то перестают за собой следить (я говорю о цветах), и, если бы человек захотел быть грубым, сказал бы, что выглядят они как ветошь. Какая жалость, моя прелестная красавица (я говорю о цветах), какая жалость, что время так проходит; красота уходит, а остается только садовник.
Zahradníkův podzim se začíná už v březnu: první odkvetlou sněženkou.	Осень садовника начинается уже в марте: с первого отцветшего подснежника.
	
## Kapitola botanická ##	## Глава ботаническая ##
	
Jak známo, rozlišuje se flóra glaciální a stepní, arktická, pontická11, středomořská, subtropická, bahenní a všelijaká jiná, a to jednak podle původu, jednak podle místa, kde se vyskytuje a bují.	Как известно, различают флору ледниковую и степную, арктическую, понтийскую11, средиземноморскую, субтропическую, болотную и всякую иную - отчасти по происхождению, отчасти по месту, где она встречается и буйствует.
Nuže, zajímáte-li se poněkud o rostlinstvo, shledáte, že jiná vegetace bují v kavárnách a jiná dejme tomu u uzenářů; že určitým druhům a rodům se daří zvláště na nádražích a jiným u hlídačů trati; snad by se podrobným srovnávacím studiem mohlo dokázati, že za okny katolíků prospívá jiná flóra než za okny nevěrců a pokrokářů, kdežto ve výkladních skříních s galanterním zbožím bují skutečně jen květiny umělé, a tak dále. Avšak jelikož botanická topografie je dosud, jak se říká, v plenkách, podržme se několika ostře vymezených a význačných botanických skupin.	Так вот, если вы хоть немного интересуетесь растительностью, то обнаружите, что одна растительность буйствует в кафе, а другая, скажем, у колбасников; что определенным видам и родам особенно хорошо живется на вокзалах, а другим - у путевых сторожей; вероятно, подробное сравнительное исследование могло бы доказать, что за окнами католиков процветает одна флора, а за окнами неверующих и прогрессистов - другая, тогда как в витринах галантерейных магазинов на самом деле буйствуют только искусственные цветы, и так далее. Но поскольку ботаническая топография еще, как говорится, в пеленках, ограничимся несколькими резко очерченными и характерными ботаническими группами.
1. Flóra nádražní má dvě podtřídy: vegetaci na nástupišti a zahradu pana přednosty. Na nástupišti, obyčejně zavěšeny v košících, ale někdy i na římsách nebo v oknech nádraží, se daří zvláště lichořeřišnice, dále lobelky, pelargonie, petúnie a begonie, na nádražích vyšší kategorie někdy i dracény. Nádražní flóra se vyznačuje neobyčejně hojným a barevným květem. Zahrada pana přednosty je botanicky méně výrazná; vyskytují se v ní i růže, pomněnky, macešky, lobelie, zimolez a jiné sociologicky málo rozlišené druhy.	1. Вокзальная флора имеет два подкласса: растительность на платформе и сад начальника станции. На платформе, обычно подвешенные в корзинах, а иногда и на карнизах или в окнах вокзала, особенно хорошо живут настурции, затем лобелии, пеларгонии, петунии и бегонии, а на вокзалах высшего разряда иной раз и драцены. Вокзальная флора отличается необычайно обильным и ярким цветением. Сад начальника станции ботанически менее выразителен; в нем встречаются и розы, и незабудки, и анютины глазки, и лобелии, и жимолость, и иные виды, мало различимые в социологическом отношении.
2. Flóra železniční roste v zahrádkách hlídačů trati. Náleží do ní zejména proskurník, kterému se říká sléz, a slunečnice, dále tropaeolum, popínavé růže, jiřiny a někdy též astry; jak zřejmo, jsou to většinou rostliny vyčuhující přes plot, snad proto, aby potěšily mimojedoucího strojvůdce. – Divoká flóra železniční roste na železničních náspech; skládá se zvláště z devaterníku, hledíku, divizny, rmenu, hadince, mateřídoušky a některých jiných železničních druhů.	2. Железнодорожная флора растет в садиках путевых сторожей. К ней принадлежат прежде всего алтей, который называют мальвой, и подсолнечник, затем tropaeolum, плетистые розы, георгины, а иногда и астры; как видно, это большей частью растения, высовывающиеся через забор, вероятно для того, чтобы радовать проезжающего машиниста. Дикая железнодорожная флора растет на железнодорожных насыпях; состоит она главным образом из солнцецвета, львиного зева, коровяка, пупавки, синяка, тимьяна и некоторых других железнодорожных видов.
	
11 Pontus euxinus – lat. název pro severní pobřeží Černého moře. Pozn. red.	11 Pontus euxinus - латинское название северного побережья Черного моря. Прим. ред.
	
3. Flóra řeznická roste ve výkladních skříních řezníků, mezi naříznutými hřbety, kýtami, jehňaty a salámy. Čítá nevelký počet druhů, zvláště pak aukubu, asparagus Sprengeri, z kaktusových cereus a echinopsis; u uzenářů se vyskytují v květináčích také araucaria a někdy i prvosenka.	3. Мясницкая флора растет в витринах мясников, среди надрезанных туш, окороков, ягнят и колбас. Число ее видов невелико, прежде всего аукоба, asparagus Sprengeri, а из кактусовых - cereus и echinopsis; у колбасников в горшках встречается также араукария и иногда примула.
