English	Lojban
I went to the zoo yesterday.	i ca le prulamdei mi klama le muzga be lo danlu
I live near the sea so I often get to go to the beach.	mi xabju lo jibni be le xamsi .i ja'e bo cafne fa lo nu mi klama le korbi be le xamsi
You had better go.	da'i zabna fa le nu do cliva
How many days will you remain in London?	do ba stali la .london. ze'a le djedi be ma
Why do you want to study abroad?	do djica fi ma fe le nu do tadni bu'u lo drata gugde
I work in Milan.	.i le ka gunka bu'u la .miLAN. cu jibri mi
I don't want to study German.	i mi na djica le nu mi tadni le dotco
That is exactly what we want to learn.	la'e do'i satci fi lo ka poi'i mi'ai djica le nu ri cilre ke'a
There are seven days in a week.	lo ka jeftu cu ka djedi li ze
What time do you get up every day?	i do ta'e ku ti'u ma co'a cikna
I want to eat.	.i .au mi citka
I lack the desire to eat.	.i mi claxu lo ka djica le nu mi citka
I will return in 10 days.	mi ba di'a zvati la'u le djedi be li dau
I feed my dog twice a day.	i mi jai gau citka fai le gerku pe mi re roi ro detydei
The window is open letting the fresh air in.	i le canko cu kalri le nenri le vifne vacri
I flew from Japan.	i mi pu klama fi la .nipon. fu tu'a le vinji
Can you crack the coconut?	i xu do kakne lo ka jai gau porpi fai le pa kokso
For me this banana is sweet.	i ti voi badna cu kukte mi
This hotel room is large.	i ti voi kumfa le xotli cu barda
It's hard for me to wade through this forest.	i nandu mi fa lo ka cadzu ti voi ricfoi
I broke a plate.	i mi pu jai gau porpi fai le palta
The plate got broken.	i le palta pu gau co'a porpi
The plate broke into many small pieces.	i le palta mo'u porpi loi so'i cmalu
I eat rice every day.	i mi citka lo rismi su'o roi ro detydei
To drink tea is our ritual that we perform every day in order to talk to each other.	i lo ka lu'a ce'u su'o roi ro detydei cu pinxe lo tcati vau fi mi'a ritli lo ka simxu lo ka tavla
Are these flies dangerous?	i xu le za'u ti ku voi sfani cu ckape
I am going to stay here for three days.	i .ai mi stali vi ku ze'a le djedi be li ci
Weight of the virus is 1 attogram.	i lo'e vidru cu xatsi lo grake lo ka tilju
Welcome to our house.	fi'i le vitke be le zdani be mi'a
One day there will be something so that I will be both sad and happy about.	i ba ku ca pa djedi su'o da mi ge se badri gi gleki
Alice isn't present for more than two days. That is strange.	i la alis ze'a lo djedi be li za'u re na ku zvati i la'e di'u cizra
This doorbell is to call me.	i ti voi vorme janbe cu zilpli lo nu mi sanji
This book is mine.	ti voi cukte cu se ponse mi
I want to sleep.	.i .au mi sipna
We should wait for 10 days.	.ei mi'ai denpa ze'a le djedi be li dau
Unluckily, this thing wouldn't be of big help.	i fu'au nai ti voi dacti na mutce da'i lo ka plixau
Are you thinking of the whole picture?	xu do pensi le vi'e pixra
I'm buying these apples and, umm, the pears over there.	i ai mi te vecnu ti voi plise e y tu voi perli
I will return in three days.	mi ba di'a zvati la'u le djedi be li ci
I do want to study. But it's difficult to me.	.i mi je'a djica le nu mi tadni i ku'i nu bu nandu mi
This field is 100 square meters.	i ti voi foldi cu mitre te'ai re li pa no no
This apple is sweet.	ti voi plise cu kukte
I think that these documents containing the development of the language are very important.	i mi jinvi le du'u ti voi uenci lo nu farvi fa lo bangu cu mutce lo ka vajni
By the way, are you called Robin as well?	ta'o xu do se cmene zo robin. si'a
